source,target,sign,Weight
E2F1,FGFR1,1,1
E2F1,JUN,1,1
E2F1,RELA,1,1
E2F4,JUN,1,1
EGR1,HIF1A,1,1
ETS1,EGR1,1,1
FGFR1,LDHA,1,1
FGFR1,STAT1,1,1
Enzyme1338__AKR1A1,Metab__D-Glucitol_c,1,1
Enzyme1338__AKR1B1,Metab__D-Glucitol_c,1,1
Enzyme1338__AKR7A2,Metab__D-Glucitol_c,1,1
Enzyme7338__LDHA_reverse,Metab__L-Lactic acid_c,1,1
Enzyme9047__SLC2A1,Metab__D-Glucose_c,1,1
Enzyme9049__SLC2A1_reverse,Metab__D-Glucose_c,1,1
Enzyme9172__LDHA_reverse,Metab__L-Lactic acid_m,1,1
Enzyme918200002__SLC16A1,Metab__L-Lactic acid_m,1,1
HIF1A,ETS1,1,1
HIF1A,LDHA,1,1
HIF1A,SLC2A1,1,1
JUN,EGR1,1,1
JUN,ETS1,1,1
LDHA,Enzyme7338__LDHA_reverse,1,1
LDHA,Enzyme9172__LDHA_reverse,1,1
MAPK14,ETS1,1,1
MAPK14,JUN,1,1
MAPK14,MAPK3,-1,1
MAPK14,RARA,1,1
MAPK14,RELA,1,1
MAPK14,STAT1,1,1
MAPK3,FGFR1,-1,1
Metab__D-Glucose_c,Enzyme1338__AKR1A1,1,1
Metab__D-Glucose_c,Enzyme1338__AKR1B1,1,1
Metab__D-Glucose_c,Enzyme1338__AKR7A2,1,1
Metab__L-Lactic acid_c,Enzyme918200002__SLC16A1,1,1
Metab__D-Glucitol_c,MAPK14,1,1
NFKB1,JUN,1,1
NFKB1,RELA,1,1
RELA,EGR1,1,1
RELA,JUN,1,1
RELA,NFKB1,1,1
RELA,SP1,1,1
SLC2A1,Enzyme9047__SLC2A1,1,1
SLC2A1,Enzyme9049__SLC2A1_reverse,1,1
SP1,E2F1,1,1
SP1,EGR1,1,1
SP1,LDHA,1,1
SP1,NFKB1,1,1
SP1,RARA,1,1
SP1,RELA,1,1
