Nodes,NodeType,ZeroAct,UpAct,DownAct,AvgAct,measured,Activity
AKT1,,0.75,0.25,0,0.25,0,0.25
ANO9,P,0,0,1,-1,1,-1
ATAD2,P,0,1,0,1,1,1
ATM,P,0,1,0,1,1,1
AXIN1,P,0,1,0,1,1,1
B2M,M,0,1,0,1,1,1
BRD4,P,0,0,1,-1,1,-1
CCNA2,P,0,1,0,1,1,1
CCNE1,P,0,1,0,1,1,1
CDC73,P,0,0,1,-1,1,-1
CDK1,P,0,1,0,1,1,1
CDK2,P,0,1,0,1,1,1
CHUK,P,0,1,0,1,1,1
COPS5,P,0,1,0,1,1,1
CREB3,P,0,1,0,1,1,1
CTCF,P,0,0,1,-1,1,-1
CUL1,P,0,1,0,1,1,1
DDB1,P,0,1,0,1,1,1
E2F2,P,0,1,0,1,1,1
E2F3,P,0,1,0,1,1,1
E2F4,P,0,1,0,1,1,1
E2F5,P,0,1,0,1,1,1
ELAVL1,P,0,0,1,-1,1,-1
GATA3,P,0,0,1,-1,1,-1
GSK3A,P,0,0,1,-1,1,-1
GSTP1,M,0,1,0,1,1,1
HDAC2,P,0,0,1,-1,1,-1
HSF1,P,0,1,0,1,1,1
HSPA8,M,0,1,0,1,1,1
IL27RA,P,0,0,1,-1,1,-1
KAT2A,P,0,1,0,1,1,1
KAT5,P,0,1,0,1,1,1
KMT2A,P,0,0,1,-1,1,-1
MAPK1,P,0,1,0,1,1,1
MAPK3,P,0,1,0,1,1,1
MCPH1,P,0,1,0,1,1,1
MDM2,P,0,1,0,1,1,1
MIF,M,0,1,0,1,1,1
MYC,P,0,1,0,1,1,1
NCL,M,0,1,0,1,1,1
NCOA3,P,0,0,1,-1,1,-1
NDN,P,0,1,0,1,1,1
NFYA,P,0,1,0,1,1,1
NMI,P,0,0,1,-1,1,-1
NR2C2,P,0,1,0,1,1,1
PAK2,P,0,0,1,-1,1,-1
PARP1,P,0,1,0,1,1,1
PCNA,P,0,1,0,1,1,1
PIM1,P,0,1,0,1,1,1
PLK1,P,0,1,0,1,1,1
PPM1G,,0.75,0.25,0,0.25,0,0.25
PPP2CA,P,0,1,0,1,1,1
PPP2CB,P,0,0,1,-1,1,-1
PPP2R5A,P,0,1,0,1,1,1
PPP2R5D,P,0,0,1,-1,1,-1
PRKDC,,0,1,0,1,0,1
RFX1,P,0,0,1,-1,1,-1
RPS6KA1,,0.75,0.25,0,0.25,0,0.25
RPS6KA3,,0.75,0.25,0,0.25,0,0.25
RUNX1,P,0,0,1,-1,1,-1
SKP2,P,0,0,1,-1,1,-1
SMAD4,P,0,0,1,-1,1,-1
SMARCB1,P,0,1,0,1,1,1
SP1,P,0,1,0,1,1,1
STAT1,P,0,0,1,-1,1,-1
STAT5B,P,0,0,1,-1,1,-1
TAB1,P,0,1,0,1,1,1
TAB2,P,0,1,0,1,1,1
TFAP2C,P,0,0,1,-1,1,-1
TFDP1,P,0,1,0,1,1,1
TFDP2,P,0,1,0,1,1,1
TFRC,M,0,1,0,1,1,1
TRAF2,P,0,1,0,1,1,1
UBE2I,P,0,1,0,1,1,1
USF1,,0,1,0,1,0,1
WWP1,P,0,1,0,1,1,1
YBX1,M,0,1,0,1,1,1
YWHAQ,P,0,1,0,1,1,1
ZMIZ1,P,0,1,0,1,1,1
