Node1,Sign,Node2,Weight
ABL1,1,ATR,1
ABL1,1,BCAR1,1
ABL1,1,CAV1,1
ABL1,1,CDK5,1
ABL1,1,CEBPB,1
ABL1,1,EGFR,1
ABL1,1,EPHB2,1
ABL1,1,HIPK2,1
ABL1,1,JUN,1
ABL1,1,MET,1
ABL1,1,MTOR,1
ABL1,1,MYLK,1
ABL1,1,PLK1,1
ABL1,1,STAT1,1
ACVR1,1,ETS1,1
ACVR1,1,MDM2,1
ACVR1,1,RPS6KA2,1
ACVR1,1,SMAD1,1
ACVR1B,1,MAPK8,1
ACVR1B,1,SMAD2,1
ACVR1B,1,SMAD3,1
AKT2,1,CHUK,1
AKT2,1,EP300,1
AKT2,1,JUN,1
AKT2,1,MDM2,1
AKT3,1,CHUK,1
AKT3,1,CREB3,1
AKT3,1,JUN,1
AKT3,1,MDM2,1
AKT3,1,PRKACA,1
ANKRD11,1,BDNF,1
ANKRD11,1,TP53,1
APEX1,1,STAT3,1
APEX1,1,TP53,1
APEX1,1,TXN,1
ATAD2,1,MYC,1
ATF2,1,ATF3,1
ATF2,1,JUN,1
ATF2,1,PCNA,1
ATF2,1,RB1,1
ATF3,1,JUN,1
ATF4,1,ATF3,1
ATF4,1,CEBPB,1
ATF4,1,EGR1,1
ATM,1,ABL1,1
ATM,1,ATF2,1
ATM,1,BUB1,1
ATM,1,CHEK2,1
ATM,1,EP300,1
ATM,1,HIF1A,1
ATM,1,HIPK2,1
ATM,1,IKBKG,1
ATM,1,PRKDC,1
ATM,1,SMAD1,1
ATM,1,SP1,1
ATM,1,STK11,1
ATM,1,TADA3,1
ATM,1,TFDP1,1
ATM,1,TP53,1
ATM,1,TRAF6,1
ATR,1,ATM,1
ATR,1,CHEK2,1
ATR,1,PRKDC,1
ATR,1,SP1,1
ATR,1,TADA3,1
ATR,1,TP53,1
AURKA,1,PLK1,1
AURKA,1,TP53,1
AXIN1,1,MYC,1
AXIN1,1,RNF111,1
AXIN1,1,SMAD3,1
BACH1,1,GAPDH,1
BCAR1,1,MAPK8,1
BCL10,1,CHUK,1
BCL10,1,IKBKG,1
BCL10,1,RELA,1
BCL3,1,NFKB1,1
BDNF,1,CDK5,1
BDNF,1,STAT3,1
BLVRA,1,ATF2,1
BLVRA,1,JUN,1
BLVRA,1,JUND,1
BMPR1A,1,SMAD1,1
BUB1,1,MDM2,1
BUB1,1,NCL,1
BUB1,1,PLK1,1
BUB1,1,TP53,1
CALM2,1,CAMK1,1
CALM2,1,CAMK1D,1
CALM2,1,CAMK2D,1
CALM2,1,CAMK2G,1
CALM2,1,DAPK1,1
CALM2,1,MYLK,1
CALM2,1,RAC1,1
CAMK1,1,ATF2,1
CAMK1,1,ATF4,1
CAMK1,1,CREB3,1
CAMK1,1,CREB5,1
CAMK1,1,GAPDH,1
CAMK1D,1,ATF2,1
CAMK1D,1,ATF4,1
CAMK1D,1,CREB3,1
CAMK1D,1,CREB5,1
CAMK2D,1,ATF2,1
CAMK2D,1,ATF4,1
CAMK2D,1,CREB3,1
CAMK2D,1,CREB5,1
CAMK2D,1,PRKACA,1
CAMK2D,1,STAT1,1
CAMK2G,1,ATF2,1
CAMK2G,1,ATF4,1
CAMK2G,1,CREB3,1
CAMK2G,1,CREB5,1
CAMK2G,1,MAP3K7,1
CAMK2G,1,PRKACA,1
CAMK2G,1,STAT1,1
CASP8AP2,1,NFKB1,1
CCNA2,1,TFDP1,1
CCNA2,1,TP53,1
CDC73,-1,MYC,1
CDK1,-1,PPP1CA,1
CDK1,1,ABL1,1
CDK1,1,APLP2,1
CDK1,1,BUB1,1
CDK1,1,CSNK2B,1
CDK1,1,PKN1,1
CDK1,1,PLK1,1
CDK1,1,SP1,1
CDK1,1,TP53,1
CDK2,-1,PPP1CA,1
CDK2,-1,RUNX1,1
CDK2,1,AXIN1,1
CDK2,1,CCNA2,1
CDK2,1,CEBPB,1
CDK2,1,MYC,1
CDK2,1,PELP1,1
CDK2,1,SP1,1
CDK2,1,TFDP1,1
CDK2,1,TP53,1
CDK4,1,BCL3,1
CDK4,1,ETS1,1
CDK4,1,NCL,1
CDK4,1,PELP1,1
CDK4,1,PKM,1
CDK5,-1,PPP1CA,1
CDK5,1,ATM,1
CDK5,1,BCL3,1
CDK5,1,ETS1,1
CDK5,1,MAPK7,1
CDK5,1,PTK2,1
CDK5,1,RPS6KA2,1
CDK5,1,SRC,1
CDK5,1,SRF,1
CDK5,1,STAT3,1
CDK5,1,TP53,1
CEBPB,1,E2F4,1
CEBPB,1,HSP90AA1,1
CEBPB,1,IL6,1
CEBPB,1,STAT3,1
CHEK2,1,EIF2AK2,1
CHEK2,1,RB1,1
CHEK2,1,TP53,1
CHUK,1,CREBBP,1
CHUK,1,MTOR,1
CHUK,1,MYC,1
CHUK,1,RELA,1
COPS5,1,HIF1A,1
COPS5,1,JUN,1
COPS5,1,MDM2,1
COPS5,1,MYC,1
COPS5,1,TYK2,1
CREB5,1,ATF2,1
CREB5,1,JUN,1
CREBBP,1,ELK1,1
CREBBP,1,IFNAR2,1
CREBBP,1,IRF9,1
CREBBP,1,JUN,1
CREBBP,1,NFE2L2,1
CREBBP,1,RELA,1
CREBBP,1,SMAD2,1
CREBBP,1,STAT2,1
CREBBP,1,STAT3,1
CREBBP,1,TP53,1
CREBBP,1,VDR,1
CSNK1A1,-1,GLI2,1
CSNK1A1,1,AXIN1,1
CSNK1A1,1,MDM2,1
CSNK1A1,1,TP53,1
CSNK2A2,1,RELA,1
CSNK2A2,1,TP53,1
CSNK2B,1,RELA,1
CSNK2B,1,TBP,1
CSNK2B,1,TP53,1
CTCF,-1,MYC,1
CTDSPL,1,RB1,1
CTDSPL,1,SMAD3,1
DAB2,1,SMAD2,1
DAB2,1,SMAD3,1
DAB2,1,TGFBR1,1
DAB2,1,TGFBR2,1
DAPK1,1,DAPK3,1
DAPK1,1,PKM,1
DAPK1,1,TP53,1
DAPK3,1,MDM2,1
DAPK3,1,TP53,1
DDX17,1,MDM2,1
DDX21,1,JUN,1
DUSP22,1,MAPK8,1
DUSP6,1,MAPK3,1
DVL1,1,JUN,1
DVL1,1,RAC1,1
DVL1,1,RHOA,1
DVL1,1,ROCK1,1
DVL1,1,SMAD3,1
DYRK1B,1,MAPK8,1
DYRK1B,1,PRKACA,1
E2F4,1,CDK1,1
E2F4,1,JUN,1
EGFR,1,ANXA1,1
EGFR,1,CAV1,1
EGFR,1,GSTP1,1
EGFR,1,HRAS,1
EGFR,1,KITLG,1
EGFR,1,MAP2K1,1
EGFR,1,PCNA,1
EGFR,1,PRKDC,1
EGFR,1,PTK2,1
EGFR,1,PTPN1,1
EGFR,1,STAT1,1
EGFR,1,STAT3,1
EGFR,1,TNK2,1
EGR1,1,ATF3,1
EGR1,1,BCAR1,1
EGR1,1,CD44,1
EGR1,1,EGFR,1
EGR1,1,EP300,1
EGR1,1,F3,1
EGR1,1,HIF1A,1
EGR1,1,PLAUR,1
EGR1,1,TGFB1,1
EGR1,1,TP53,1
EIF2AK2,1,CHEK2,1
EIF2AK2,1,CHUK,1
EIF2AK2,1,PLK1,1
EIF2AK2,1,PPP2R5A,1
EIF2AK2,1,STAT1,1
EIF2AK2,1,TP53,1
ELK1,1,PRKCA,1
EP300,1,DDX17,1
EP300,1,HIF1A,1
EP300,1,IRF9,1
EP300,1,MEF2D,1
EP300,1,PARP1,1
EP300,1,PML,1
EP300,1,RB1,1
EP300,1,RELA,1
EP300,1,SMAD1,1
EP300,1,SMAD2,1
EP300,1,SMAD3,1
EP300,1,STAT3,1
EP300,1,TDG,1
EP300,1,TP53,1
EP300,1,VDR,1
EPAS1,1,SERPINE1,1
EPHB2,1,SRC,1
EPHB2,1,STAT1,1
ETS1,1,CHUK,1
ETS1,1,EGR1,1
ETS1,1,MET,1
ETS1,1,PARP1,1
ETS1,1,TFAP2A,1
ETS1,1,TGFBR2,1
ETV4,1,ETS1,1
ETV4,1,VIM,1
FER,1,PTPN1,1
FER,1,STAT3,1
FGFR1,1,BCAR1,1
FGFR1,1,CREBBP,1
FGFR1,1,STAT1,1
FYN,1,ABL1,1
FYN,1,BCAR1,1
FYN,1,CAV1,1
FYN,1,CDK5,1
FYN,1,EGFR,1
FYN,1,EPHB2,1
FYN,1,MAPK14,1
FYN,1,PRKCA,1
FYN,1,PTK2,1
FYN,1,PTPN11,1
FYN,1,RPS6KA3,1
GAPDH,1,APEX1,1
GATA2,-1,APEX1,1
GLI2,-1,EFEMP1,1
GLI2,-1,IFNGR1,1
GSTP1,1,TRAF2,1
HDAC1,-1,MYC,1
HDAC1,-1,NFE2L2,1
HDAC1,-1,RELA,1
HDAC1,-1,SMAD2,1
HDAC1,-1,SMAD3,1
HDAC1,-1,TP53,1
HDAC3,-1,MYC,1
HDAC3,-1,NFE2L2,1
HDAC3,-1,NFKB1,1
HDAC3,-1,RELA,1
HDAC3,1,HDAC1,1
HIF1A,1,ETS1,1
HIF1A,1,GAPDH,1
HIF1A,1,MET,1
HIF1A,1,MIF,1
HIF1A,1,PKM,1
HIF1A,1,SERPINE1,1
HIF1A,1,TFRC,1
HIF1A,1,TIMP1,1
HIF1A,1,TP53,1
HIPK2,1,MDM2,1
HIPK2,1,NLK,1
HIPK2,1,PML,1
HIPK2,1,SMAD1,1
HIPK2,1,TP53,1
HMGB1,1,NFKB1,1
HMGB1,1,TP53,1
HRAS,1,JUN,1
HRAS,1,MAPK1,1
HRAS,1,MAPK8,1
HRAS,1,RAF1,1
HSP90AA1,1,DAPK1,1
HSP90AA1,1,RAF1,1
HSP90AA1,1,RIPK1,1
HSP90AA1,1,TGFBR1,1
HSP90AA1,1,TGFBR2,1
IFNAR2,1,JAK1,1
IFNAR2,1,STAT1,1
IFNAR2,1,STAT2,1
IFNAR2,1,TYK2,1
IFNGR1,1,JAK1,1
IFNGR1,1,STAT1,1
IKBKG,1,CHUK,1
IKBKG,1,NFKB1,1
IKBKG,1,RELA,1
IL6,1,PTPN11,1
IL6,1,STAT1,1
IL6,1,STAT3,1
ING2,1,EP300,1
ING2,1,TP53,1
INSR,-1,CALM2,1
IRAK1,1,CHUK,1
IRAK1,1,IKBKG,1
IRAK1,1,MAP3K7,1
IRAK1,1,STAT3,1
IRAK1,1,TAB2,1
IRAK1,1,TRAF6,1
IRF9,1,IFNAR2,1
IRF9,1,PML,1
JAK1,1,PTK2B,1
JAK1,1,PTPN11,1
JAK1,1,STAT1,1
JAK1,1,STAT2,1
JAK1,1,STAT3,1
JAK1,1,TYK2,1
JUN,1,ATF3,1
JUN,1,EGFR,1
JUN,1,EGR1,1
JUN,1,ETS1,1
JUN,1,FOSL2,1
JUN,1,IL6,1
JUN,1,PLAUR,1
