source,target,sign,consistency
CCNA2,SKP2,1,TRUE
CDC20,CCNA2,-1,TRUE
CDC20,CDC27,1,TRUE
CDC27,CDC20,1,TRUE
FBXO5,CDC20,-1,TRUE
FBXO5,CDC27,-1,TRUE
Gene12300001__SLC25A10,Metab__HMDB0000208_c,1,TRUE
Gene12300001__SLC25A11,Metab__HMDB0000208_c,1,TRUE
Gene1542__IDH1,Metab__HMDB0000208_m,1,TRUE
Gene1542__IDH2,Metab__HMDB0000208_m,1,TRUE
Gene1587__IDH1,Metab__HMDB0003974_m,1,TRUE
Gene1587__IDH1_reverse,Metab__HMDB0000193_m,1,TRUE
Gene1587__IDH2,Metab__HMDB0003974_m,1,TRUE
Gene1587__IDH2_reverse,Metab__HMDB0000193_m,1,TRUE
Gene166900001__SLC25A10,Metab__HMDB0000208_m,1,TRUE
Gene220700001__SLC25A1,Metab__HMDB0000208_m,1,TRUE
Gene221500002__SLC25A1,Metab__HMDB0000208_c,1,TRUE
Gene223100001__SLC25A11,Metab__HMDB0000208_c,1,TRUE
Gene2244__SLC25A10,Metab__HMDB0000208_m,1,TRUE
Gene2978__orphanReac2OXOADPt_TRANSPORTER2,Metab__HMDB0000208_c,1,TRUE
Gene2978__orphanReac2OXOADPt_TRANSPORTER3_reverse,Metab__HMDB0000208_e,1,TRUE
Gene3753__IDH1,Metab__HMDB0003974_c,1,TRUE
Gene3753__IDH2,Metab__HMDB0003974_c,1,TRUE
Gene5580__OGDH_DLD_PDHX_DLST,Metab__HMDB0001022_m,1,TRUE
Gene616700001__SLC25A1,Metab__HMDB0000208_m,1,TRUE
Gene618000002__SLC25A1,Metab__HMDB0000208_c,1,TRUE
Gene618400002__SLC25A1,Metab__HMDB0000208_c,1,TRUE
Gene7608__IDH1,Metab__HMDB0000208_c,1,TRUE
Gene9154__IDH3B_IDH3G_IDH3A,Metab__HMDB0000208_m,1,TRUE
Gene9154__IDH3G_IDH3A_IDH3B,Metab__HMDB0000208_m,1,TRUE
Gene9154__IDH3G_IDH3B_IDH3A,Metab__HMDB0000208_m,1,TRUE
Gene9155__IDH2,Metab__HMDB0000208_m,1,TRUE
Gene9155__IDH2_reverse,Metab__HMDB0000193_m,1,TRUE
Gene930__IDH1,Metab__HMDB0000208_c,1,TRUE
Gene9730__IDH1,Metab__HMDB0003974_m,1,TRUE
Gene9730__IDH2,Metab__HMDB0003974_m,1,TRUE
Gene986100001__SLC25A1,Metab__HMDB0000208_m,1,TRUE
IDH1,Gene1542__IDH1,1,TRUE
IDH1,Gene1587__IDH1,1,TRUE
IDH1,Gene1587__IDH1_reverse,1,TRUE
IDH1,Gene3753__IDH1,1,TRUE
IDH1,Gene7608__IDH1,1,TRUE
IDH1,Gene930__IDH1,1,TRUE
IDH1,Gene9730__IDH1,1,TRUE
IDH2,Gene1542__IDH2,1,TRUE
IDH2,Gene1587__IDH2,1,TRUE
IDH2,Gene1587__IDH2_reverse,1,TRUE
IDH2,Gene3753__IDH2,1,TRUE
IDH2,Gene9155__IDH2,1,TRUE
IDH2,Gene9155__IDH2_reverse,1,TRUE
IDH2,Gene9730__IDH2,1,TRUE
Metab__HMDB0000193_m,Gene1587__IDH1,1,TRUE
Metab__HMDB0000193_m,Gene1587__IDH2,1,TRUE
Metab__HMDB0000193_m,Gene9154__IDH3B_IDH3G_IDH3A,1,TRUE
Metab__HMDB0000193_m,Gene9154__IDH3G_IDH3A_IDH3B,1,TRUE
Metab__HMDB0000193_m,Gene9154__IDH3G_IDH3B_IDH3A,1,TRUE
Metab__HMDB0000193_m,Gene9155__IDH2,1,TRUE
Metab__HMDB0000193_m,Gene9730__IDH1,1,TRUE
Metab__HMDB0000193_m,Gene9730__IDH2,1,TRUE
Metab__HMDB0000208_c,Gene166900001__SLC25A10,1,TRUE
Metab__HMDB0000208_c,Gene220700001__SLC25A1,1,TRUE
Metab__HMDB0000208_c,Gene2244__SLC25A10,1,TRUE
Metab__HMDB0000208_c,Gene2978__orphanReac2OXOADPt_TRANSPORTER3_reverse,1,TRUE
Metab__HMDB0000208_c,Gene616700001__SLC25A1,1,TRUE
Metab__HMDB0000208_c,Gene986100001__SLC25A1,1,TRUE
Metab__HMDB0000208_e,Gene2978__orphanReac2OXOADPt_TRANSPORTER2,1,TRUE
Metab__HMDB0000208_m,Gene12300001__SLC25A10,1,TRUE
Metab__HMDB0000208_m,Gene12300001__SLC25A11,1,TRUE
Metab__HMDB0000208_m,Gene221500002__SLC25A1,1,TRUE
Metab__HMDB0000208_m,Gene223100001__SLC25A11,1,TRUE
Metab__HMDB0000208_m,Gene5580__OGDH_DLD_PDHX_DLST,1,TRUE
Metab__HMDB0000208_m,Gene618000002__SLC25A1,1,TRUE
Metab__HMDB0000208_m,Gene618400002__SLC25A1,1,TRUE
Metab__HMDB0000208_m,Gene9155__IDH2_reverse,1,TRUE
Metab__HMDB0003974_c,Gene7608__IDH1,1,TRUE
Metab__HMDB0003974_m,Gene1542__IDH1,1,TRUE
Metab__HMDB0003974_m,Gene1542__IDH2,1,TRUE
Metab__HMDB0003974_m,Gene1587__IDH1_reverse,1,TRUE
Metab__HMDB0003974_m,Gene1587__IDH2_reverse,1,TRUE
SKP2,IDH1,-1,TRUE
SKP2,IDH2,-1,TRUE
STAT1,FBXO5,1,TRUE
