source,target,sign,consistency
CTCF,NT5C3A,-1,TRUE
Gene1675__orphanReacr0840,Metab__r5p_r,1,TRUE
Gene1675__orphanReacr0840_reverse,Metab__r5p_c,1,TRUE
Gene3749__PRPS1,Metab__HMDB0062643_c,1,TRUE
Gene3749__PRPS2,Metab__HMDB0062643_c,1,TRUE
Gene3764__PNP,Metab__HMDB0001489_c,1,TRUE
Gene3764__PNP_reverse,Metab__HMDB0000299_c,1,TRUE
Gene3779__NT5C3A,Metab__HMDB0000299_c,1,TRUE
Gene6760__orphanReacXTSNtr,Metab__HMDB0000299_c,1,TRUE
Gene6760__orphanReacXTSNtr_reverse,Metab__HMDB0000299_e,1,TRUE
Gene7304__PGM1,Metab__r5p_c,1,TRUE
Gene7304__PGM2,Metab__r5p_c,1,TRUE
Gene7322__PNP,Metab__HMDB0000132_c,1,TRUE
Gene7322__PNP,Metab__HMDB0001351_c,1,TRUE
Gene7322__PNP_reverse,Metab__HMDB0000085_c,1,TRUE
Gene7632__NT5C,Metab__HMDB0000085_c,1,TRUE
Gene7632__NT5C2,Metab__HMDB0000085_c,1,TRUE
Gene7632__NT5C3A,Metab__HMDB0000085_c,1,TRUE
Gene9739__DGUOK,Metab__dgmp_c,1,TRUE
Metab__HMDB0000085_c,Gene358__orphanReacDGSNtm,1,TRUE
Metab__HMDB0000085_c,Gene7322__PNP,1,TRUE
Metab__HMDB0000085_c,Gene9739__DGUOK,1,TRUE
Metab__HMDB0000132_c,Gene3697__HPRT1,1,TRUE
Metab__HMDB0000132_c,Gene3756__PNP_reverse,1,TRUE
Metab__HMDB0000132_c,Gene7322__PNP_reverse,1,TRUE
Metab__HMDB0000299_c,Gene1758__orphanReacr1384_reverse,1,TRUE
Metab__HMDB0000299_c,Gene3764__PNP,1,TRUE
Metab__HMDB0000299_c,Gene6760__orphanReacXTSNtr_reverse,1,TRUE
Metab__HMDB0000299_e,Gene6760__orphanReacXTSNtr,1,TRUE
Metab__HMDB0001351_c,Gene3675__PNP_reverse,1,TRUE
Metab__HMDB0001351_c,Gene7322__PNP_reverse,1,TRUE
Metab__HMDB0001489_c,Gene3756__PNP_reverse,1,TRUE
Metab__HMDB0001489_c,Gene3764__PNP_reverse,1,TRUE
Metab__HMDB0001489_c,Gene7304__PGM1,1,TRUE
Metab__HMDB0001489_c,Gene7304__PGM2,1,TRUE
Metab__HMDB0062643_c,Gene3697__HPRT1,1,TRUE
Metab__HMDB0062643_c,Gene7706__HPRT1,1,TRUE
Metab__dgmp_c,Gene7632__NT5C,1,TRUE
Metab__dgmp_c,Gene7632__NT5C2,1,TRUE
Metab__dgmp_c,Gene7632__NT5C3A,1,TRUE
Metab__r5p_c,Gene1675__orphanReacr0840,1,TRUE
Metab__r5p_c,Gene3749__PRPS1,1,TRUE
Metab__r5p_c,Gene3749__PRPS2,1,TRUE
Metab__r5p_r,Gene1675__orphanReacr0840_reverse,1,TRUE
NT5C3A,Gene3779__NT5C3A,1,TRUE
NT5C3A,Gene7282__NT5C3A,1,TRUE
NT5C3A,Gene7632__NT5C3A,1,TRUE
NT5C3A,Gene7633__NT5C3A,1,TRUE
