metabolite,786-0,A498,A549/ATCC,ACHN,BT-549,CAKI-1,CCRF-CEM,COLO 205,DU-145,EKVX,HCC-2998,HCT-116,HCT-15,HL-60(TB),HOP-62,HOP-92,HS 578T,HT29,IGROV1,K-562,KM12,LOX IMVI,M14,MALME-3M,MCF7,MDA-MB-231/ATCC,MDA-MB-435,MOLT-4,NCI-H226,NCI-H23,NCI-H322M,NCI-H460,NCI-H522,NCI/ADR-RES,OVCAR-3,OVCAR-4,OVCAR-5,OVCAR-8,PC-3,RPMI-8226,RXF-393,SF-268,SF-295,SF-539,SK-MEL-28,SK-MEL-5,SK-OV-3,SN12C,SNB-19,SNB-75,SR,SW-620,T-47D,TK-10,U251,UACC-257,UACC-62,UO-31
(2-Aminoethyl)phosphonate,0.7633333333333333,1.40575,0.214,0.214,0.214,0.374,0.786,2.1813333333333333,0.9490000000000001,0.214,1.8483333333333334,0.9216666666666666,0.214,1.4246666666666667,0.214,0.214,0.214,0.214,0.387,2.8496666666666663,0.8966666666666667,0.214,0.44366666666666665,0.6083333333333333,0.214,0.961,0.566,1.7553333333333334,0.214,2.59,0.3343333333333333,0.214,1.111,0.214,0.214,0.214,0.8276666666666667,0.214,0.214,3.9080000000000004,0.30766666666666664,0.214,0.214,0.39566666666666667,0.5308333333333334,0.8263333333333334,0.42233333333333334,0.214,0.214,0.476,1.3233333333333333,0.42466666666666664,0.859,0.476,0.3526666666666667,0.472,0.3363333333333333,0.35733333333333334
(p-Hydroxyphenyl)lactic acid,0.5933333333333334,0.3125,1.1895,1.3546666666666667,0.072,1.2469999999999999,0.072,0.36866666666666664,0.45499999999999996,0.4303333333333333,0.7076666666666667,0.17166666666666666,1.206,0.22633333333333333,1.2023333333333333,0.072,0.6633333333333333,1.2426666666666668,0.8686666666666667,0.6723333333333333,0.072,1.4729999999999999,0.384,1.6823333333333332,1.2533333333333334,0.5993333333333333,1.6443333333333334,0.5706666666666667,1.334,0.8550000000000001,0.18366666666666664,0.919,0.485,0.697,0.072,0.072,0.504,0.589,0.072,0.43866666666666665,0.753,0.5193333333333333,2.85,1.593,0.9106666666666666,2.376666666666667,0.5946666666666667,2.591666666666667,0.7263333333333334,1.1223333333333332,0.9416666666666667,0.072,1.776,0.6656666666666666,0.4023333333333333,1.41,0.8793333333333334,1.153
"2,3-diphospho-D-glyceric acid",0.8506666666666667,0.724,0.6425000000000001,0.9393333333333334,1.3613333333333333,0.512,1.2803333333333333,1.1046666666666667,1.524,1.3593333333333333,1.009,1.2193333333333334,1.133,0.8036666666666666,1.1686666666666667,1.7173333333333334,1.2156666666666667,1.149,0.9943333333333333,0.7263333333333333,0.9349999999999999,1.5423333333333333,0.6586666666666666,0.9450000000000001,0.8686666666666667,1.2493333333333334,0.7733333333333333,0.8186666666666667,1.31,0.7106666666666667,1.104,0.861,1.165,1.7373333333333334,0.637,1.8533333333333333,1.0393333333333332,1.8956666666666666,1.3763333333333334,1.431,0.6866666666666666,1.188,0.6866666666666666,1.2923333333333333,0.4886666666666667,0.737,0.5086666666666666,1.1636666666666666,1.6693333333333333,0.5396666666666666,1.191,1.4526666666666668,1.018,1.23,0.658,1.9143333333333332,0.7973333333333333,0.9596666666666667
2'-deoxyadenosine 5'-diphosphate,0.324,0.324,1,1.1026666666666667,0.324,1.0226666666666666,0.324,0.324,0.324,1.6683333333333334,0.324,0.324,0.324,0.324,0.9106666666666666,0.324,0.324,0.324,0.48600000000000004,0.4463333333333333,0.324,0.9386666666666666,0.324,0.9236666666666666,0.5840000000000001,1.071,1.7556666666666667,0.5436666666666666,0.985,1.0803333333333334,0.5286666666666666,0.324,0.5803333333333334,0.324,0.7799999999999999,0.324,0.81,0.783,0.324,0.324,0.522,0.324,0.324,0.324,0.6815,1.392,0.894,1.3706666666666667,0.324,0.324,0.324,0.324,0.324,0.5083333333333333,0.5143333333333333,0.324,1.2633333333333334,1.0396666666666667
2'-deoxyuridine,0.104,0.104,0.36650000000000005,0.6526666666666666,0.104,0.173,0.104,0.26266666666666666,0.104,0.104,0.104,0.104,0.104,0.104,0.104,0.104,0.187,0.23466666666666666,0.104,0.104,0.104,1.6036666666666666,0.104,0.5706666666666667,0.104,0.104,0.104,0.104,1.12,0.104,6.162333333333334,1.0113333333333334,0.104,0.104,0.725,1.0063333333333333,0.8936666666666667,0.104,0.104,0.104,0.104,1.107,1.2333333333333334,1.7476666666666667,1.4,0.104,0.20833333333333331,1.6413333333333333,0.17566666666666667,1.8833333333333333,0.104,0.104,0.104,0.104,0.6843333333333333,0.8466666666666667,0.30133333333333334,0.8
2'-deoxyuridine 5'-triphosphate,0.222,0.222,1,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.5626666666666666,0.222,0.222,1.0283333333333333,0.222,0.222,0.222,0.222,0.222,0.7406666666666667,0.222,0.222,0.222,0.36733333333333335,0.222,0.222,0.222,0.48133333333333334,0.222,0.222,0.4,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.854,0.222,0.222,0.222,0.222,0.222,0.222,0.222
3-hydroxy-3-methylglutarate,0.6236666666666667,0.74775,1.072,0.9846666666666667,0.118,2.5096666666666665,0.6973333333333334,5.3806666666666665,0.879,0.9076666666666667,1.5023333333333333,2.2516666666666665,1.085,0.7963333333333333,0.7826666666666667,0.118,0.178,0.2693333333333333,1.006,2.9886666666666666,1.6123333333333334,0.4186666666666667,3.304333333333333,3.229,2.6843333333333335,1.0313333333333334,10.085666666666667,0.6016666666666667,0.5366666666666666,3.0663333333333336,0.118,0.118,0.118,0.4876666666666667,1.4503333333333333,0.118,0.7286666666666667,0.8796666666666666,0.5963333333333334,0.118,0.526,0.412,1.179,0.786,6.7655,2.399,0.5276666666666667,0.6393333333333333,0.8883333333333333,0.259,3.5843333333333334,0.118,3.536,1.0939999999999999,0.7763333333333333,2.468,4.965333333333334,0.41933333333333334
3-methyl-L-histidine,1.5190000000000001,1.6139999999999999,0.041,1.2716666666666667,0.7883333333333333,1.7376666666666667,1.618,1.3196666666666668,0.183,0.9776666666666667,2.698,1.0210000000000001,0.7936666666666666,0.8006666666666666,0.37533333333333335,0.15866666666666668,0.31533333333333335,0.14566666666666667,1.1276666666666668,2.2943333333333333,2.169,0.36633333333333334,3.2436666666666665,0.371,0.24733333333333335,0.38566666666666666,1.6786666666666668,1.76,0.5373333333333333,1.309,0.3473333333333333,0.24333333333333335,0.041,0.19,0.519,0.423,1.558,0.041,0.7503333333333333,0.5316666666666667,0.7076666666666667,0.208,0.366,0.502,2.5261666666666667,0.7403333333333333,0.157,0.041,0.041,0.13833333333333334,1.7449999999999999,0.5263333333333333,0.7473333333333333,1.2623333333333333,0.32833333333333337,0.554,1.3780000000000001,0.23533333333333334
3-phospho-d-glycerate,1.1023333333333334,2.0705,0.086,3.372,1.337,2.0453333333333337,NA,NA,1.0403333333333333,1.513,0.4046666666666667,0.048,1.0046666666666666,NA,0.04766666666666667,0.6196666666666667,1.1076666666666668,1.6853333333333333,0.575,0.10366666666666666,0.14833333333333334,1.0556666666666668,NA,0.9126666666666666,0.9576666666666667,0.5216666666666667,NA,NA,0.522,NA,0.13133333333333333,1.425,0.107,0.363,1.1803333333333332,0.962,2.7573333333333334,0.5903333333333334,0.968,NA,1.5833333333333333,0.884,6.213333333333333,0.9536666666666667,1.3471666666666666,1.1193333333333333,11.777333333333333,1.0546666666666666,0.5366666666666666,1.6323333333333334,0.11866666666666667,0.22533333333333333,1.9636666666666667,4.192333333333333,1.1886666666666668,3.5276666666666667,NA,4.06
3-phospho-l-serine,2.464,1.05175,1.297,1.1046666666666667,0.4713333333333333,1.7503333333333333,1.2276666666666667,1.845,0.264,0.732,3.2266666666666666,1.152,0.9560000000000001,1.0583333333333333,1.026,0.241,0.191,0.19933333333333333,1.8213333333333332,4.296666666666667,2.045,0.408,5.4816666666666665,1.416,0.9206666666666666,1.2656666666666667,1.287,2.6486666666666667,0.5956666666666667,3.4623333333333335,0.049,0.428,0.09,0.21533333333333332,0.244,0.117,1.735,0.32033333333333336,0.049,1.0446666666666666,0.821,0.049,0.9963333333333333,0.6866666666666666,2.496166666666667,1.1393333333333333,0.3466666666666667,0.6606666666666667,0.049,0.049,2.021333333333333,0.7886666666666666,0.906,1,0.9383333333333334,0.5529999999999999,1.2956666666666667,0.7286666666666666
