Nodes,AvgAct,RNA_input,mofa_weights,feature_weights,NodeType
AAK1,0.5014098196690884,NA,NA,NA,0
ABCA1,0.9993558882178374,NA,NA,NA,0
ABI1,-0.6853942696028376,NA,NA,NA,0
ABL1,2.7622604043058985,0.24835872899717384,0.24835872899717384,NA,4
ABL2,1.1364220932554754,0.5145635667312618,0.5145635667312618,NA,0
ACADM,-2.0756789168187773,-0.10168020821861155,-0.10168020821861155,NA,0
ACO1,-3.553060916661125,0.40993339954624436,0.40993339954624436,NA,0
ACTA1,0.640951715750272,NA,NA,NA,0
ACTB,-2.060035949768629,0.4468360601431579,0.4468360601431579,NA,0
ACTN1,1.5875945923636838,0.9726816524459021,0.9726816524459021,NA,0
ADAM10,0.14875707415553605,0.11542398490181772,0.11542398490181772,1.2090897500941908,2
ADAM12,2.0911576999153842,NA,NA,NA,0
ADAM17,0.14875707415553605,NA,NA,NA,0
ADRB2,1.6407213021686677,NA,NA,NA,0
ADSL,-0.8015856804091555,-0.1773053155727293,-0.1773053155727293,NA,0
AHR,0.3269383508038678,0.26106599458438773,0.26106599458438773,0.8001452480646135,4
AHR,0.3269383508038678,0.26106599458438773,0.26106599458438773,0.8001452480646135,4
AKR1B1,1.513293054993888,0.24974101683124178,0.24974101683124178,NA,0
AKT1,0.8242135172122218,0.10153008787122021,0.10153008787122021,NA,0
AKT2,0.37781703614189255,0.02989918844028404,0.02989918844028404,NA,0
AKT3,0.5896063028495655,NA,NA,NA,0
ANAPC1,-0.19434748759306802,NA,NA,NA,0
ANAPC10,-0.29402374402217857,-0.24149025822924167,-0.24149025822924167,NA,0
ANAPC11,-1.3061461708749458,-0.13789787407225898,-0.13789787407225898,NA,0
ANAPC13,-0.37266036239248446,0.14937225679893876,0.14937225679893876,NA,0
ANAPC2,-1.7274130564721835,NA,NA,NA,0
ANAPC4,-0.29402374402217857,-0.29142539408832424,-0.29142539408832424,NA,0
ANAPC5,-0.29402374402217857,-0.155585038598456,-0.155585038598456,NA,0
ANAPC7,-0.29402374402217857,-0.2305828003943114,-0.2305828003943114,NA,0
ANKRD28,-1.50624604536072,0.2224379311065733,0.2224379311065733,NA,0
ANP32A,-1.170582049984519,-0.42157790184911065,-0.42157790184911065,NA,0
ANXA2,2.331859888106437,0.8253712100216177,0.8253712100216177,NA,0
APAF1,-1.1837539475621608,NA,NA,NA,0
APBA2,-0.02393936793534442,NA,NA,NA,0
APC,-0.19434748759306802,NA,NA,NA,0
APEX1,-0.14225412742226454,-0.19724672977448085,-0.19724672977448085,-0.3481511538632146,4
APH1A,-0.13243172374713086,0.0074699897612547075,0.0074699897612547075,NA,0
APP,0.14875707415553605,0.42684628908359384,0.42684628908359384,2.2812175632712424,2
APPL1,0.8828686203061069,NA,NA,NA,0
ARAF,2.4809177297154648,0.002225896722624054,0.002225896722624054,NA,0
AREG,0.5678547814962932,NA,NA,NA,0
ARF1,-1.6100736529524768,0.0053226760795021845,0.019880404544665473,NA,0
ARF6,-0.7194012908847944,0.09157484814905899,0.09157484814905899,0.23837903063094465,0
ARFIP1,1.4523303725528784,-0.05725478731979038,-0.05725478731979038,NA,0
ARHGAP1,-0.640951715750272,0.2750028836458916,0.2750028836458916,NA,0
ARHGAP26,0.6829516950647415,NA,NA,NA,0
ARHGAP32,0.24752799335191472,-0.19955823029142217,-0.19955823029142217,NA,0
ARHGDIA,-0.640951715750272,0.156047771381886,0.156047771381886,NA,0
ARHGDIB,-0.640951715750272,NA,-0.291355110559822,NA,0
ARHGEF12,-0.9423732707932599,0.041247258575942934,0.041247258575942934,NA,0
ARHGEF2,0.5142619495495155,0.17730109466039806,0.17730109466039806,NA,0
ARHGEF25,0.640951715750272,NA,NA,NA,0
ARHGEF7,0.8178846342432045,NA,NA,NA,0
ARNT,1.0292768767638,NA,NA,2.5190406688611655,4
ARNTL,-0.7013316429557571,NA,NA,NA,0
ARPC2,-1.7784463860056865,0.14196573060836262,0.14196573060836262,NA,0
ARRB1,1.0765328188287329,NA,-0.0010647224159098226,NA,0
ARRB2,-1.4594263851253972,-0.40734061935596994,-0.40734061935596994,NA,0
ASAP1,1.4523303725528784,0.8778158010399192,0.8778158010399192,NA,0
ASAP2,1.4523303725528784,0.24705799583409296,0.24705799583409296,NA,0
ASF1A,-0.33541157393612325,-0.2494709787906409,-0.2494709787906409,NA,0
ASXL1,0.43809222604348735,NA,NA,NA,4
ATF1,1.786451104011663,-0.10124041614605972,-0.10124041614605972,4.372140369155506,4
ATF2,1.2088702916275953,NA,NA,2.958575575468587,4
ATF3,1.3836581928846243,NA,NA,3.3863495220433006,4
ATF4,1.2738822446247606,-0.16625472499961996,-0.16625472499961996,3.1176850991147997,4
ATF6,1.2325640708564025,NA,NA,3.0165634646593396,4
ATF6,1.2325640708564025,NA,NA,3.0165634646593396,4
ATG13,0.8893867764122213,NA,NA,NA,0
ATG3,0.29766954914665716,0.006931070228689054,0.006931070228689054,NA,0
ATG7,0.29766954914665716,NA,-0.0041163874495960895,NA,0
ATM,1.2781948117144137,NA,NA,NA,0
ATP1A1,1.9717404824556102,0.3028494055603458,0.3028494055603458,NA,0
ATP2B1,0.754505203428514,0.17206179520253032,0.17206179520253032,NA,0
ATP2B4,0.754505203428514,0.36514213273969004,0.36514213273969004,NA,0
ATR,0.021160812396295095,NA,NA,NA,0
ATRIP,0.2558143922241446,NA,-0.011130221537974102,NA,0
AURKA,0.2558143922241446,0.06958239572573507,0.06958239572573507,NA,0
AURKB,-0.6596788902384516,-0.11034240656034283,-0.11034240656034283,NA,0
AVEN,1.079479680117038,NA,NA,NA,0
AXIN1,0.17821561408112999,NA,NA,NA,0
AXL,0.2628211667429911,0.3302983688687707,0.3302983688687707,1.1845566474327538,0
BACE1,-0.02177836218529073,0.30052402818134716,0.30052402818134716,NA,0
BAD,1.2963387751608175,0.10513873657451307,0.10513873657451307,NA,0
BARD1,0.2558143922241446,NA,NA,NA,0
BAX,-0.8893867764122148,0.15684348296568398,0.15684348296568398,NA,0
BBC3,2.7067147929541004,-0.03861352139691138,-0.03861352139691138,NA,0
BCAR1,-2.0896366710128893,0.47038003057595373,0.47038003057595373,NA,0
BCL10,1.6096359928713424,0.27623050528750925,0.27623050528750925,NA,0
BCL2,-3.1381259864325854,NA,NA,NA,0
BCL2L1,-1.2963387751608175,0.050550455442744634,0.08728998514821346,NA,0
BCL2L11,2.7067147929541004,NA,NA,NA,0
BCL3,0.16419799211077216,0.3907925800465158,0.3907925800465158,NA,4
BCL6,0.4758774860901015,0.3335836762087566,0.3335836762087566,1.1646572150978878,4
BCR,-0.9160121866294321,NA,NA,NA,0
BECN1,1.490356561027271,0.1610200996595386,0.1610200996595386,NA,0
BID,1.169842315773339,-0.15289368946112805,-0.15289368946112805,NA,0
BIK,1.169842315773339,NA,NA,NA,0
BIRC2,1.1322461603979068,0.31059255354110377,0.31059255354110377,NA,0
BIRC3,0.5705747835695336,NA,NA,NA,0
BIRC5,1.1837539475621608,0.024792558819336896,0.024792558819336896,NA,0
BIRC6,1.1837539475621608,NA,NA,NA,0
BLM,1.2963387751608175,NA,-0.029134579938757104,NA,0
BMI1,0.7740009420783263,0.04726900637720943,0.04726900637720943,NA,0
BMPR1A,-0.5124518689152204,NA,NA,NA,0
BNIP2,0.7599009268062235,-0.015307118166319226,-0.015307118166319226,NA,0
BNIP3,2.7067147929541004,0.5010097763495176,0.5010097763495176,NA,0
BNIP3L,2.7067147929541004,0.3722628902315687,0.3722628902315687,NA,0
BORA,0.0631618240944635,-0.20964838205798966,-0.20964838205798966,NA,0
BRAF,-0.5190240311705306,NA,NA,NA,0
BRCA1,0.7351482862377886,-0.1608082975703095,-0.1608082975703095,1.7991936596293983,4
BRCA2,2.0896366710128893,NA,NA,NA,0
BRD4,1.9517732192741868,0.12684685424892583,0.12684685424892583,NA,4
BRIP1,0.2558143922241446,NA,NA,NA,0
BRMS1,0.33541157393612325,-0.02904506935351661,-0.02904506935351661,NA,0
BTG2,1.1123824336982326,NA,NA,NA,4
BUB1B,-0.09633305568812596,-0.16495741650661339,-0.16495741650661339,NA,0
CABIN1,-0.2316155528504193,-0.044257566467522574,-0.044257566467522574,NA,0
CAD,-0.6504281714853548,-0.10533253573768733,-0.10533253573768733,NA,0
CALM1,2.7088701760765725,0.09586831906064551,0.09586831906064551,0.23331279480534514,0
CAMK1,1.7688918281393242,NA,NA,NA,0
CAMK2D,2.7975897894885056,NA,-0.016282778132519205,NA,0
CAMK2G,3.485611815256028,-0.0952237280045371,-0.0952237280045371,NA,0
CAMKK1,0.6474834437327255,NA,NA,NA,0
CAMKK2,0.6474834437327255,NA,NA,NA,0
CAPN1,0.6355438018663176,0.0236196327982304,0.13202358592717167,NA,0
CAPN2,2.4286335064635614,0.5921789127424876,0.5921789127424876,NA,0
CARD11,0.6930260986428417,NA,NA,NA,0
CARM1,-0.3227095364907432,NA,NA,NA,0
CASP2,0.8381540150723235,-0.2166192024815781,-0.2166192024815781,NA,0
CASP3,-1.313803946890115,-0.08870283550161946,-0.08870283550161946,NA,0
CASP6,0.6917081628346939,-0.30716154617832103,-0.30716154617832103,NA,0
CASP7,-0.7210959756410683,-0.11131226917845018,-0.11131226917845018,NA,0
CASP8,-0.24645254901518962,NA,NA,NA,0
CASP8AP2,1.1030759244582782,NA,NA,NA,0
CASP9,-0.5473954792058022,NA,NA,NA,0
CAST,-1.5260490980106602,0.48395764176460937,0.48395764176460937,NA,0
CAT,1.6426383367375448,-0.25013390448124295,-0.25013390448124295,NA,0
CAV1,0.2521098608614392,0.5991342210990575,0.5991342210990575,2.5940938285599224,3
CBL,-0.6879838493859816,NA,NA,NA,0
CBLB,-1.2526504839474688,NA,NA,NA,0
CCAR2,-0.07626563025015995,-0.17733734904300405,-0.17733734904300405,NA,0
CCNA2,-0.8579573603659671,-0.28077159528433177,-0.28077159528433177,NA,0
CCND1,-1.3509674126243294,0.5627642351337477,0.5627642351337477,NA,4
CCND3,-0.9198936121484294,-0.15231039271398436,-0.15231039271398436,NA,0
CCNE1,-1.7029407811971309,-0.20025919785670723,-0.20025919785670723,NA,0
CCNE2,-2.0294437122046167,NA,NA,NA,0
CCNF,0.37266036239248435,-0.1905313983468151,-0.1905313983468151,NA,0
CCNG1,0.25636162125044804,0.06753390255477079,0.06753390255477079,NA,0
CD2AP,-1.7784463860056865,-0.02150125835849274,-0.02150125835849274,NA,0
CD44,0.3690601975951781,0.7503894823741774,0.7503894823741774,3.340253093813914,3
CDC16,-0.29402374402217857,0.05867054370657812,0.05867054370657812,NA,0
CDC20,0.8170864322060446,0.036955839196896045,0.036955839196896045,NA,0
CDC23,-0.29402374402217857,-0.02425971306731997,-0.02425971306731997,NA,0
CDC25A,-2.3478394430459213,NA,NA,NA,0
CDC26,-1.3061461708749469,-0.09845878609194762,-0.09845878609194762,NA,0
