source_original,score,level
AAK1,0.5236664262189301,2
ABCA1,0.09075603395349076,2
ABCC1,0.4837483489532127,6
ABCC3,-2.280959894847716,4
ABI1,-0.7789016809398075,3
ABL1,3.4701073811767613,1
ABL2,1.4151437524827977,1
ACADM,-2.032978230027348,4
ACADVL,-1.9779669674887448,4
ACAT1,0.1101917626109761,2
ACLY,-0.7446663238598781,4
ACO1,-1.9900304039263135,2
ACOX1,0.18737086485914395,1
ACP1,0.3227925070505476,1
ACTA1,0.7342700153457099,2
ACTB,-2.298819797574731,2
ACTN1,1.8493793222623824,2
ACTR2,1.7777882200389061,2
ACVR1B,2.7302168262358375,1
ADAM10,0.27001331606709944,1
ADAM12,2.2996346378735186,3
ADAM17,0.27001331606709944,1
ADAM9,3.083567260107518,3
ADORA1,1.259344965769701,3
ADRB2,1.7785025495888167,3
ADSL,-0.8255365205005873,2
AHCYL1,-0.4961558325951834,2
AHSA1,-3.0881299130270614,2
AIMP1,0.3776190793697588,2
AKR1B1,-0.029043313058600678,2
AKT1,1.0219144523030268,1
AKT1S1,0.5047305516694709,3
AKT2,0.48102242788572025,1
AKT3,0.682501966777021,1
ANAPC1,-0.3227925070505476,1
ANAPC10,-0.35218596494294124,2
ANAPC11,-1.3975585067210494,3
ANAPC13,-0.40959800054938883,3
ANAPC2,-1.9012917140806813,2
ANAPC4,-0.35218596494294124,2
ANAPC5,-0.35218596494294124,2
ANAPC7,-0.35218596494294124,2
ANXA2,2.597948764901927,3
AP2B1,0.7756209008524142,3
AP2M1,-1.119697316090895,2
APAF1,-1.2449492769847375,2
APBA2,0.03849116580509442,4
APBB1,-0.8210146394867472,2
APC,-0.3227925070505476,1
APEX1,-0.3481511538632146,0
APH1A,-0.06583985810518617,2
APP,0.27001331606709944,1
APPL1,1.0098255853744673,2
ARAF,2.903056461318537,2
ARF1,-1.6459319059042425,3
ARF6,-1.7512084191465713,5
ARHGAP1,-0.7342700153457099,2
ARHGAP32,0.3034400535334871,2
ARHGAP33,-0.7342700153457099,2
ARHGEF2,0.58384186026267,2
ARHGEF25,0.7342700153457099,2
ARHGEF7,0.9333008526026412,2
ARID3A,-2.070989267262702,1
ARNT,2.5190406688611655,0
ARNTL,-0.9101474067538807,1
ARRB1,1.198567183771966,2
ARRB2,-1.6683247314727843,3
ASAP2,1.4591874534000269,4
ASXL1,0.6050652946399536,1
ATAD5,1.4511700143269668,2
ATF1,4.372140369155506,0
ATF2,2.958575575468587,0
ATF3,3.3863495220433006,0
ATF4,3.1176850991147997,0
ATG13,0.9875932621790867,2
ATG14,-0.08683848057959831,3
ATG3,0.32807238477526157,3
ATG4D,1.2760858104305877,4
ATG7,0.32807238477526157,3
ATG9A,-0.04571698073042282,2
ATM,1.7715613909830155,1
ATP1A1,2.4288912718128652,5
ATP2B1,1.0091834758351554,5
ATP2B4,1.0091834758351554,5
ATR,0.18475911075952534,1
AURKA,0.3939594891432709,1
AURKB,-0.7070744801535592,1
AXIN1,0.30411639053409056,1
AXL,0.2744932196998817,3
BACE1,0.06039634624837552,2
BAD,1.601050215689381,1
BAG2,-0.9998842862224263,2
BAIAP2,-0.32573225320177657,4
BAK1,-0.9875932621790784,2
BAMBI,0.26010284587827276,2
BAX,-0.9875932621790784,2
BBC3,2.736834152117447,2
BCAR1,-2.526436480072848,1
BCL10,1.9658292081077953,1
BCL2,-3.5498776776323777,1
BCL2L1,-1.601050215689381,1
BCL2L11,2.736834152117447,2
BCL2L2,0.5672129708899699,3
BCL3,0.360191898379265,1
BCL6,1.1646572150978878,0
BCR,-0.9510247720157106,2
BECN1,1.6557297467306105,2
BHLHE40,-2.4846292117702733,0
BID,1.243519742325234,2
BIRC2,1.1604579795099932,2
BIRC3,0.5327326221654753,2
BIRC5,1.2449492769847375,2
BIRC6,1.2449492769847375,2
BLM,1.601050215689381,1
BMI1,0.8687219874776616,2
BMP4,-0.6282921727492307,2
BMPR1A,-0.4543293747768891,1
BNIP3,2.736834152117447,2
BNIP3L,2.736834152117447,2
BRAF,-0.43044992442642055,2
BRCA1,1.7991936596293983,0
BRD4,2.264350488411673,1
BRIP1,0.3939594891432709,1
BRMS1,0.29030670139679754,1
BSG,-0.2841689382713426,2
BTG2,1.3872122942980587,1
BTRC,-0.9593622331380005,1
BUB1,-1.5359406397552948,2
BUB1B,-0.052111220125766265,3
CABIN1,-0.35212590840381475,2
CAD,-0.6194208143629716,2
CAMK1,2.1934646837546143,1
CAMK2D,3.401569784876151,1
CAMK2G,4.173325396683781,1
CAPN1,0.49539357221844843,2
CAPN2,2.401050226478042,2
CARD11,0.7389855285562401,3
CARM1,-0.27560905124126656,1
CASP2,0.9968421484263738,2
CASP3,-1.6030953861511972,1
CASP6,0.9399700407667696,1
CASP7,-0.7510490960560641,2
CASP8,-0.18737086485914395,1
CASP8AP2,1.3764001641366557,1
CASP9,-0.507243117271669,2
CAST,-1.3695559051388848,3
CAT,1.8289945122146984,5
CAV1,0.3896700742039741,1
CBL,-0.8351091504301139,2
