Nodes,MOON,CARNIVAL
ABL1,0,1
ABL2,0,1
ACO1,0,-1
ADAM15,1,0
ANXA1,1,0
APP,1,0
ATF1,0,1
ATF2,1,0
ATF4,1,0
ATR,1,-1
ATRIP,1,0
AURKA,1,0
BAD,-1,0
BBC3,-1,0
BCL2L1,1,0
BCL2L11,-1,0
BCL6,-1,0
BHLHE40,0,-1
BHLHE41,0,-1
BID,-1,0
BMP1,0,1
BMPR2,0,1
BNIP3L,-1,0
BRCA1,1,0
CALR,1,0
CASP3,0,-1
CDH2,0,-1
CDK1,1,1
CDK2,0,1
CDK3,1,0
CDK6,1,0
CDKN1A,-1,0
CDKN2A,1,-1
CDKN2C,-1,0
CDON,0,-1
CEBPB,0,1
CEBPG,0,1
CHEK1,0,-1
CITED1,-1,0
COL18A1,1,0
COL6A1,1,0
CREB1,-1,1
CREBBP,-1,-1
CREM,0,-1
CSK,1,0
CSNK2A1,0,-1
CUX1,0,-1
DAG1,0,1
DAPK1,-1,-1
DBF4,-1,0
DDB2,1,0
DDX5,-1,0
DNMT3A,-1,-1
E2F1,0,-1
E2F3,0,-1
E2F4,-1,-1
EEF1A1,-1,0
EGR1,-1,1
EIF2AK2,-1,0
EIF4E,-1,0
EIF4G1,-1,0
ENO1,-1,0
Enzyme168700002__SLC25A1,-1,0
Enzyme168800001__SLC25A1,-1,-1
Enzyme172400002__SLC25A1,-1,0
Enzyme220500001__SLC25A1,-1,-1
Enzyme220600001__SLC25A1,-1,0
Enzyme220700002__SLC25A1,-1,0
Enzyme220800002__SLC25A1,-1,-1
Enzyme221400002__SLC25A1,-1,0
Enzyme221500003__SLC25A1,-1,0
Enzyme221700003__SLC25A1,-1,0
Enzyme221900002__SLC25A1,-1,0
Enzyme2346__PKM,-1,0
Enzyme2346__PKM_reverse,-1,-1
Enzyme3634__GAD1,-1,0
Enzyme3732__BPGM,-1,0
Enzyme3732__PGAM1,-1,0
Enzyme3732__PGAM2,-1,0
Enzyme3825__ACO1,-1,0
Enzyme3825__ACO1_reverse,-1,-1
Enzyme3825__IREB2,-1,0
Enzyme3825__IREB2_reverse,-1,-1
Enzyme3844__PGD,0,1
Enzyme4788__KMT5A,0,1
Enzyme4789__KMT5A,0,1
Enzyme4823__GPI,0,1
Enzyme616500001__SLC25A1,-1,-1
Enzyme616500002__SLC25A1,-1,0
Enzyme616600001__SLC25A1,-1,0
Enzyme616600002__SLC25A1,-1,0
Enzyme616700002__SLC25A1,-1,-1
Enzyme616800001__SLC25A1,-1,0
Enzyme617500002__SLC25A1,-1,0
Enzyme617600002__SLC25A1,-1,0
Enzyme618000003__SLC25A1,-1,-1
Enzyme618100002__SLC25A1,-1,0
Enzyme618400003__SLC25A1,-1,0
Enzyme618600003__SLC25A1,-1,0
Enzyme618800003__SLC25A1,-1,0
Enzyme619000001__SLC25A1,-1,0
Enzyme619000002__SLC25A1,-1,0
Enzyme619100001__SLC25A1,-1,-1
Enzyme619100002__SLC25A1,-1,0
Enzyme6581__orphanReac3MHISc_reverse,0,1
Enzyme7225__ENO1,-1,0
Enzyme7225__ENO1_reverse,-1,0
Enzyme7225__ENO2,-1,0
Enzyme7225__ENO2_reverse,-1,0
Enzyme7225__ENO3,-1,0
Enzyme7225__ENO3_reverse,-1,0
Enzyme7283__GPI,0,1
Enzyme7328__TKT_reverse,0,1
Enzyme8252__KMT5A,0,1
Enzyme8924__PFKFB2,0,1
Enzyme966__GAD1,-1,0
Enzyme9711__ACO1_reverse,0,-1
Enzyme982500001__SLC25A1,-1,0
Enzyme982500002__SLC25A1,-1,0
Enzyme986100002__SLC25A1,-1,0
EP300,-1,0
EPHA2,0,-1
ERBB2,-1,-1
ETS1,0,1
ETV4,1,0
EWSR1,0,-1
EZH2,0,-1
FN1,1,1
FOS,0,1
FOXO1,-1,0
FYN,0,1
GAD1,-1,0
GADD45A,-1,0
GDF15,-1,0
GLI2,0,-1
GNAI2,1,1
GPI,0,1
GSTP1,0,-1
HBEGF,0,1
HBP1,0,-1
HDAC1,1,-1
HIF1A,-1,1
HIPK2,0,-1
HMGA2,1,0
HMGB1,-1,-1
HOXC13,0,1
HR,1,1
HRAS,1,0
HSPG2,1,0
ICAM1,1,0
ID2,-1,0
ID3,0,-1
IGF1R,0,1
IREB2,-1,-1
ITGA3,1,0
ITGA5,1,0
ITGAV,1,0
ITGB1,0,1
ITGB4,-1,0
ITGB5,-1,1
ITGB8,-1,0
JAK1,0,1
JDP2,-1,-1
JUN,1,1
JUND,1,0
KAT5,-1,0
KDM5B,0,-1
KLF10,1,0
KMT2A,1,-1
KMT5A,1,1
KPNB1,-1,0
LAMB1,1,1
LAMB2,0,1
LAMC1,1,1
LEF1,0,-1
LGALS1,1,1
LGALS3,1,0
LIF,1,0
LTBP3,1,0
MAML1,-1,0
MAP1B,-1,0
MAP3K7,0,-1
MAPK11,0,-1
MAPK14,0,1
MAPK8,0,-1
MARK2,-1,0
MAX,0,-1
MCM7,-1,0
MDC1,-1,0
MECOM,1,0
MECP2,0,-1
MEF2D,0,1
Metab__2-Phosphoglyceric acid_c,-1,0
Metab__beta-Alanine_c,-1,0
Metab__Beta-D-Fructose 6-phosphate_c,0,1
Metab__Citric acid_c,-1,-1
Metab__Citric acid_m,-1,-1
Metab__D-Erythrose 4-phosphate_c,0,1
Metab__D-Glycerate 3-phosphate_c,-1,0
Metab__D-Ribulose 5-phosphate_c,0,1
Metab__Histidine_c,0,1
Metab__Isocitric acid_c,-1,0
Metab__Isocitric acid_m,-1,0
Metab__l-Taurine_c,-1,0
Metab__Phosphoenolpyruvate_c,-1,-1
Metab__Phosphoenolpyruvate_m,-1,-1
Metab__S-Adenosylhomocysteine_c,0,1
Metab__Thymidine 5'-triphosphate_c,-1,0
MFGE8,0,1
MTA1,1,0
MYC,-1,-1
NAMPT,1,1
NCOR2,0,-1
NEDD4L,0,-1
NFATC1,1,0
NFE2L2,0,1
NFKB1,1,1
NOLC1,0,1
NPM1,1,0
NR2C2,0,1
NR4A1,1,0
NUP153,-1,0
P4HA2,-1,0
PALB2,1,0
PARP1,-1,1
PBX1,1,0
PFKFB2,0,1
PGD,0,1
PIAS1,0,-1
PIAS4,-1,0
PIK3R3,-1,0
PIN1,-1,0
PKM,1,-1
PLCG1,-1,0
PLCG2,-1,0
PMAIP1,-1,0
PPARA,1,0
PPARD,1,1
PPP1CA,0,-1
PRKAA1,0,-1
PRKACA,0,1
PRKCA,0,1
PRKCE,1,0
PSAP,1,0
PSMA7,0,-1
PSMC3,1,0
PTPN2,1,0
PTPN6,0,1
RAD1,1,0
RBL2,-1,-1
RELA,-1,1
RPA2,1,0
RPS6KB1,0,-1
RUNX2,1,1
S100A4,0,-1
SCARB1,-1,0
SEMA4B,1,0
SERPINE2,1,0
SIRT1,1,0
SLC25A1,-1,0
SMAD1,-1,0
SMAD2,-1,0
SMAD3,1,1
SMAD4,-1,1
SMAD7,0,-1
SMARCA1,1,0
SMARCA4,1,0
SNAI1,0,-1
SNAI2,1,0
SNCA,-1,0
SOX9,0,-1
SP1,1,1
SP3,1,1
SPAG9,0,-1
SRC,-1,1
