Node1,Node2,Sign,edgeID
DDB2,CDKN1A,-1,DDB2_CDKN1A
DDB2,XPC,1,DDB2_XPC
DDX5,TP53,1,DDX5_TP53
E2F4,BRCA1,-1,E2F4_BRCA1
E2F4,CDK1,-1,E2F4_CDK1
EEF1A1,PLCG1,1,EEF1A1_PLCG1
EGR1,CDKN1A,1,EGR1_CDKN1A
EGR1,TP53,1,EGR1_TP53
EIF2AK2,CDK1,-1,EIF2AK2_CDK1
EIF2AK2,TP53,1,EIF2AK2_TP53
EIF4E,SMAD3,1,EIF4E_SMAD3
EIF4E,SMAD4,1,EIF4E_SMAD4
EIF4G1,EIF4E,1,EIF4G1_EIF4E
ENO1,Enzyme7225__ENO1,1,ENO1_Enzyme7225__ENO1
ENO1,Enzyme7225__ENO1_reverse,1,ENO1_Enzyme7225__ENO1_reverse
EP300,DDX5,1,EP300_DDX5
EP300,HIF1A,1,EP300_HIF1A
EP300,PARP1,1,EP300_PARP1
EP300,RELA,1,EP300_RELA
EP300,SMAD1,1,EP300_SMAD1
EP300,SMAD2,1,EP300_SMAD2
EP300,SMAD3,1,EP300_SMAD3
EP300,SMAD4,1,EP300_SMAD4
EP300,TP53,1,EP300_TP53
EP300,YY1,1,EP300_YY1
ERBB2,CDK1,-1,ERBB2_CDK1
ERBB2,PIK3R3,1,ERBB2_PIK3R3
ERBB2,PLCG1,1,ERBB2_PLCG1
ERBB2,PLCG2,1,ERBB2_PLCG2
FOXO1,MAML1,1,FOXO1_MAML1
GAD1,Enzyme3634__GAD1,1,GAD1_Enzyme3634__GAD1
GAD1,Enzyme966__GAD1,1,GAD1_Enzyme966__GAD1
GADD45A,CDK1,-1,GADD45A_CDK1
GDF15,ERBB2,1,GDF15_ERBB2
Enzyme168700002__SLC25A1,Metab__Isocitric acid_c,1,Enzyme168700002__SLC25A1_Metab__Isocitric acid_c
Enzyme168800001__SLC25A1,Metab__Citric acid_m,1,Enzyme168800001__SLC25A1_Metab__Citric acid_m
Enzyme172400002__SLC25A1,Metab__Citric acid_c,1,Enzyme172400002__SLC25A1_Metab__Citric acid_c
Enzyme220500001__SLC25A1,Metab__Citric acid_c,1,Enzyme220500001__SLC25A1_Metab__Citric acid_c
Enzyme220600001__SLC25A1,Metab__Isocitric acid_c,1,Enzyme220600001__SLC25A1_Metab__Isocitric acid_c
Enzyme220800002__SLC25A1,Metab__Citric acid_m,1,Enzyme220800002__SLC25A1_Metab__Citric acid_m
Enzyme221400002__SLC25A1,Metab__Citric acid_m,1,Enzyme221400002__SLC25A1_Metab__Citric acid_m
Enzyme221500003__SLC25A1,Metab__Isocitric acid_m,1,Enzyme221500003__SLC25A1_Metab__Isocitric acid_m
Enzyme221700003__SLC25A1,Metab__Isocitric acid_m,1,Enzyme221700003__SLC25A1_Metab__Isocitric acid_m
Enzyme221900002__SLC25A1,Metab__Isocitric acid_m,1,Enzyme221900002__SLC25A1_Metab__Isocitric acid_m
Enzyme2346__PKM,Metab__Thymidine 5'-triphosphate_c,1,Enzyme2346__PKM_Metab__Thymidine 5'-triphosphate_c
Enzyme2346__PKM_reverse,Metab__Phosphoenolpyruvate_c,1,Enzyme2346__PKM_reverse_Metab__Phosphoenolpyruvate_c
Enzyme3634__GAD1,Metab__beta-Alanine_c,1,Enzyme3634__GAD1_Metab__beta-Alanine_c
Enzyme3732__BPGM,Metab__D-Glycerate 3-phosphate_c,1,Enzyme3732__BPGM_Metab__D-Glycerate 3-phosphate_c
Enzyme3732__PGAM1,Metab__D-Glycerate 3-phosphate_c,1,Enzyme3732__PGAM1_Metab__D-Glycerate 3-phosphate_c
Enzyme3732__PGAM2,Metab__D-Glycerate 3-phosphate_c,1,Enzyme3732__PGAM2_Metab__D-Glycerate 3-phosphate_c
Enzyme3825__ACO1,Metab__Isocitric acid_c,1,Enzyme3825__ACO1_Metab__Isocitric acid_c
Enzyme3825__ACO1_reverse,Metab__Citric acid_c,1,Enzyme3825__ACO1_reverse_Metab__Citric acid_c
Enzyme3825__IREB2,Metab__Isocitric acid_c,1,Enzyme3825__IREB2_Metab__Isocitric acid_c
Enzyme3825__IREB2_reverse,Metab__Citric acid_c,1,Enzyme3825__IREB2_reverse_Metab__Citric acid_c
Enzyme616500001__SLC25A1,Metab__Citric acid_c,1,Enzyme616500001__SLC25A1_Metab__Citric acid_c
Enzyme616600001__SLC25A1,Metab__Isocitric acid_c,1,Enzyme616600001__SLC25A1_Metab__Isocitric acid_c
Enzyme616700002__SLC25A1,Metab__Citric acid_c,1,Enzyme616700002__SLC25A1_Metab__Citric acid_c
Enzyme616800001__SLC25A1,Metab__Isocitric acid_c,1,Enzyme616800001__SLC25A1_Metab__Isocitric acid_c
Enzyme618000003__SLC25A1,Metab__Citric acid_m,1,Enzyme618000003__SLC25A1_Metab__Citric acid_m
Enzyme618100002__SLC25A1,Metab__Isocitric acid_m,1,Enzyme618100002__SLC25A1_Metab__Isocitric acid_m
Enzyme619000001__SLC25A1,Metab__Phosphoenolpyruvate_m,1,Enzyme619000001__SLC25A1_Metab__Phosphoenolpyruvate_m
Enzyme619000002__SLC25A1,Metab__Isocitric acid_c,1,Enzyme619000002__SLC25A1_Metab__Isocitric acid_c
Enzyme619100001__SLC25A1,Metab__Phosphoenolpyruvate_m,1,Enzyme619100001__SLC25A1_Metab__Phosphoenolpyruvate_m
Enzyme7225__ENO1,Metab__Phosphoenolpyruvate_c,1,Enzyme7225__ENO1_Metab__Phosphoenolpyruvate_c
Enzyme7225__ENO1_reverse,Metab__2-Phosphoglyceric acid_c,1,Enzyme7225__ENO1_reverse_Metab__2-Phosphoglyceric acid_c
Enzyme7225__ENO2,Metab__Phosphoenolpyruvate_c,1,Enzyme7225__ENO2_Metab__Phosphoenolpyruvate_c
Enzyme7225__ENO2_reverse,Metab__2-Phosphoglyceric acid_c,1,Enzyme7225__ENO2_reverse_Metab__2-Phosphoglyceric acid_c
Enzyme7225__ENO3,Metab__Phosphoenolpyruvate_c,1,Enzyme7225__ENO3_Metab__Phosphoenolpyruvate_c
Enzyme7225__ENO3_reverse,Metab__2-Phosphoglyceric acid_c,1,Enzyme7225__ENO3_reverse_Metab__2-Phosphoglyceric acid_c
Enzyme966__GAD1,Metab__l-Taurine_c,1,Enzyme966__GAD1_Metab__l-Taurine_c
Enzyme982500001__SLC25A1,Metab__Citric acid_m,1,Enzyme982500001__SLC25A1_Metab__Citric acid_m
Enzyme982500002__SLC25A1,Metab__Isocitric acid_c,1,Enzyme982500002__SLC25A1_Metab__Isocitric acid_c
Enzyme986100002__SLC25A1,Metab__Isocitric acid_c,1,Enzyme986100002__SLC25A1_Metab__Isocitric acid_c
HDAC1,RELA,-1,HDAC1_RELA
HDAC1,SMAD2,-1,HDAC1_SMAD2
HDAC1,SMAD3,-1,HDAC1_SMAD3
HDAC1,SMAD4,-1,HDAC1_SMAD4
HDAC1,TP53,-1,HDAC1_TP53
HDAC1,TRIM28,1,HDAC1_TRIM28
HIF1A,TP53,1,HIF1A_TP53
HMGB1,TP53,1,HMGB1_TP53
IREB2,Enzyme3825__IREB2,1,IREB2_Enzyme3825__IREB2
IREB2,Enzyme3825__IREB2_reverse,1,IREB2_Enzyme3825__IREB2_reverse
ITGA3,CSK,1,ITGA3_CSK
ITGA5,CSK,1,ITGA5_CSK
ITGA5,PTPN2,1,ITGA5_PTPN2
ITGAV,CSK,1,ITGAV_CSK
ITGB4,SRC,1,ITGB4_SRC
ITGB5,SRC,1,ITGB5_SRC
ITGB8,SRC,1,ITGB8_SRC
KAT5,MYC,1,KAT5_MYC
KAT5,TP53,1,KAT5_TP53
KPNB1,SMAD3,1,KPNB1_SMAD3
MAML1,EP300,1,MAML1_EP300
MAML1,TP53,1,MAML1_TP53
MAP1B,DAPK1,1,MAP1B_DAPK1
MDC1,BRCA1,-1,MDC1_BRCA1
MECOM,HDAC1,1,MECOM_HDAC1
MECOM,SMAD3,-1,MECOM_SMAD3
MYC,BCL2L11,1,MYC_BCL2L11
MYC,CDKN2A,-1,MYC_CDKN2A
MYC,EIF4E,1,MYC_EIF4E
MYC,EIF4G1,1,MYC_EIF4G1
MYC,SMAD2,1,MYC_SMAD2
MYC,SMAD3,1,MYC_SMAD3
MYC,SP1,1,MYC_SP1
Metab__Citric acid_c,Enzyme168800001__SLC25A1,1,Metab__Citric acid_c_Enzyme168800001__SLC25A1
Metab__Citric acid_c,Enzyme220800002__SLC25A1,1,Metab__Citric acid_c_Enzyme220800002__SLC25A1
Metab__Citric acid_c,Enzyme221400002__SLC25A1,1,Metab__Citric acid_c_Enzyme221400002__SLC25A1
Metab__Citric acid_c,Enzyme3825__ACO1,1,Metab__Citric acid_c_Enzyme3825__ACO1
Metab__Citric acid_c,Enzyme3825__IREB2,1,Metab__Citric acid_c_Enzyme3825__IREB2
Metab__Citric acid_c,Enzyme618000003__SLC25A1,1,Metab__Citric acid_c_Enzyme618000003__SLC25A1
Metab__Citric acid_c,Enzyme982500001__SLC25A1,1,Metab__Citric acid_c_Enzyme982500001__SLC25A1
Metab__Citric acid_m,Enzyme220500001__SLC25A1,1,Metab__Citric acid_m_Enzyme220500001__SLC25A1
Metab__Citric acid_m,Enzyme616500001__SLC25A1,1,Metab__Citric acid_m_Enzyme616500001__SLC25A1
Metab__Citric acid_m,Enzyme616700002__SLC25A1,1,Metab__Citric acid_m_Enzyme616700002__SLC25A1
Metab__Isocitric acid_c,Enzyme221500003__SLC25A1,1,Metab__Isocitric acid_c_Enzyme221500003__SLC25A1
Metab__Isocitric acid_c,Enzyme221700003__SLC25A1,1,Metab__Isocitric acid_c_Enzyme221700003__SLC25A1
Metab__Isocitric acid_c,Enzyme221900002__SLC25A1,1,Metab__Isocitric acid_c_Enzyme221900002__SLC25A1
Metab__Isocitric acid_c,Enzyme3825__ACO1_reverse,1,Metab__Isocitric acid_c_Enzyme3825__ACO1_reverse
Metab__Isocitric acid_c,Enzyme3825__IREB2_reverse,1,Metab__Isocitric acid_c_Enzyme3825__IREB2_reverse
Metab__Isocitric acid_c,Enzyme618100002__SLC25A1,1,Metab__Isocitric acid_c_Enzyme618100002__SLC25A1
Metab__Isocitric acid_m,Enzyme168700002__SLC25A1,1,Metab__Isocitric acid_m_Enzyme168700002__SLC25A1
Metab__Isocitric acid_m,Enzyme220600001__SLC25A1,1,Metab__Isocitric acid_m_Enzyme220600001__SLC25A1
Metab__Isocitric acid_m,Enzyme616600001__SLC25A1,1,Metab__Isocitric acid_m_Enzyme616600001__SLC25A1
Metab__Isocitric acid_m,Enzyme616800001__SLC25A1,1,Metab__Isocitric acid_m_Enzyme616800001__SLC25A1
Metab__Isocitric acid_m,Enzyme619000002__SLC25A1,1,Metab__Isocitric acid_m_Enzyme619000002__SLC25A1
Metab__Isocitric acid_m,Enzyme982500002__SLC25A1,1,Metab__Isocitric acid_m_Enzyme982500002__SLC25A1
Metab__Isocitric acid_m,Enzyme986100002__SLC25A1,1,Metab__Isocitric acid_m_Enzyme986100002__SLC25A1
Metab__Phosphoenolpyruvate_c,Enzyme2346__PKM,1,Metab__Phosphoenolpyruvate_c_Enzyme2346__PKM
Metab__Phosphoenolpyruvate_c,Enzyme619000001__SLC25A1,1,Metab__Phosphoenolpyruvate_c_Enzyme619000001__SLC25A1
Metab__Phosphoenolpyruvate_c,Enzyme619100001__SLC25A1,1,Metab__Phosphoenolpyruvate_c_Enzyme619100001__SLC25A1
Metab__Phosphoenolpyruvate_c,Enzyme7225__ENO1_reverse,1,Metab__Phosphoenolpyruvate_c_Enzyme7225__ENO1_reverse
Metab__Phosphoenolpyruvate_c,Enzyme7225__ENO2_reverse,1,Metab__Phosphoenolpyruvate_c_Enzyme7225__ENO2_reverse
