nodes,score,RNA_input
ENO1,1.1995049388164638,-0.3415189585433346
Gene1097__NME1_NME2,1.7819290830183878,NA
Gene1097__NME1_NME2_reverse,3.742675262394076,NA
Gene1097__NME2_NME1,1.7819290830183878,NA
Gene1097__NME2_NME1_reverse,3.742675262394076,NA
Gene1100__NME1_NME2,1.2185570054385237,NA
Gene1100__NME2_NME1,1.2185570054385237,NA
Gene1487__CMPK1,2.541534358721246,NA
Gene1487__CMPK1_reverse,1.1645236446145537,NA
Gene2346__PKM,1.1328979849751715,NA
Gene2346__PKM_reverse,1.3654189943890873,NA
Gene303__orphanReacCTPtn_reverse,1.8909736448064103,NA
Gene345__orphanReacDCTPtn_reverse,1.1751859506336282,NA
Gene3724__NME3_reverse,1.4382102311147658,NA
Gene3724__NME7_reverse,1.4382102311147658,NA
Gene442__orphanReacDTDPtn_reverse,1.4382102311147658,NA
Gene5770__CMPK1_reverse,1.1645236446145537,NA
Gene5772__CMPK1_reverse,1.1645236446145537,NA
Gene5814__orphanReacDGTPtn_reverse,1.41668341633464,NA
Gene5896__orphanReacDTTPtn,1.7819290830183878,NA
Gene6133__NME1,1.7819290830183878,NA
Gene6133__NME2,1.7819290830183878,NA
Gene619000001__SLC25A1,1.318340450966044,NA
Gene619100001__SLC25A1,1.318340450966044,NA
Gene6535__orphanReacPTRCtex2,1.1083322115012122,NA
Gene6535__orphanReacPTRCtex2_reverse,1.1412817833705777,NA
Gene7225__ENO1,1.3654189943890873,NA
Gene7326__SRM,1.759181424667505,NA
Gene7346__ODC1,1.1412817833705777,NA
Gene8418__ODC1,1.1083322115012122,NA
Gene9287__NME1_NME2,1.7528894361325422,NA
Gene9287__NME2_NME1,1.7528894361325422,NA
Gene9289__NME1_NME2,1.1645236446145537,NA
Gene9289__NME1_NME2_reverse,2.541534358721246,NA
Gene9289__NME2_NME1,1.1645236446145537,NA
Gene9289__NME2_NME1_reverse,2.541534358721246,NA
Gene9290__NME1_NME2,2.0522013497775093,NA
Gene9290__NME1_NME2_reverse,2.3316100445708137,NA
Gene9290__NME2_NME1,2.0522013497775093,NA
Gene9290__NME2_NME1_reverse,2.3316100445708137,NA
Gene9549__SMS,1.389300739630979,NA
Gene9549__SRM,1.389300739630979,NA
Metab__HMDB0000082_n,1.4773576750915784,NA
Metab__HMDB0000095_n,1.0280903638380636,NA
Metab__HMDB0000263_c,1.8380404172767273,NA
Metab__HMDB0000263_m,1.8380404172767273,NA
Metab__HMDB0000960_n,1.7459042630074688,NA
Metab__HMDB0000998_n,1.1824099085678546,NA
Metab__HMDB0001173_c,2.0900616858196437,NA
Metab__HMDB0001191_n,2.2189388626783964,NA
Metab__HMDB0001257_c,1.5306882073055248,NA
Metab__HMDB0001274_n,3.8058887067584912,NA
Metab__HMDB0001342_c,1.5344095799576356,NA
Metab__HMDB0001414_c,1.320219004007767,NA
Metab__HMDB0001414_e,1.1793378639586618,NA
Metab__HMDB0001440_n,1.2360142314440643,NA
MYC,1.190940915792446,0.5734874075168764
NME1,2.420273185060743,-0.1745950078947436
NME2,2.463847965863812,-0.5703205453220654
ODC1,1.2782343845041033,0.8343191328242024
SRM,2.0327817456782213,0.6495259552941129
