source,target,interaction,consistency
AKR1B1,Gene1338__AKR1B1,1,TRUE
AKR1B1,Gene140__AKR1B1,1,TRUE
AKR1B1,Gene141__AKR1B1,1,TRUE
AKR1B1,Gene156__AKR1B1,1,TRUE
BRAF,MAP2K2,1,TRUE
CAD,Gene7220__CAD,1,TRUE
CCNA2,E2F1,1,TRUE
CCNA2,SKP2,1,TRUE
CCNA2,TP53,1,TRUE
CCNB1,FBXO5,1,TRUE
CCNE1,E2F1,1,TRUE
CDK1,E2F1,1,TRUE
CDK1,EZH2,-1,TRUE
CDK1,FBXO5,-1,TRUE
CDK1,IREB2,-1,TRUE
CDK1,NFAT5,1,TRUE
CDK1,NSFL1C,-1,TRUE
CDK1,NUP50,-1,TRUE
CDK1,RAD9A,1,TRUE
CDK1,SUN1,-1,TRUE
CDK1,TP53,1,TRUE
CDK1,TSC1,-1,TRUE
CDK2,CCNA2,1,TRUE
CDK2,CEBPB,1,TRUE
CDK2,DLG1,1,TRUE
CDK2,RBBP8,1,TRUE
CDK2,SKP2,1,TRUE
CDK2,TP53,1,TRUE
CEBPB,GOT1,1,TRUE
CTSL,BID,1,TRUE
DBF4,MCM7,1,TRUE
DDB1,E2F1,1,TRUE
DHFR,Gene1604__DHFR,1,TRUE
DHFR,Gene3666__DHFR_reverse,1,TRUE
DHFR,Gene8928__DHFR,1,TRUE
DHFR,Gene9703__DHFR,1,TRUE
DHFR,Gene9747__DHFR,1,TRUE
DHFR,Gene9747__DHFR_reverse,1,TRUE
DLG1,NET1,1,TRUE
DUSP1,MAPK1,1,TRUE
E2F1,BID,1,TRUE
E2F1,CCNA2,1,TRUE
E2F1,CCNE1,1,TRUE
E2F1,CDK1,1,TRUE
E2F1,DBF4,1,TRUE
E2F1,DDB2,1,TRUE
E2F1,DHFR,1,TRUE
E2F1,DUSP1,1,TRUE
E2F1,ECT2,1,TRUE
E2F1,FGFR1,1,TRUE
E2F1,MAPK1,1,TRUE
E2F1,MCM7,1,TRUE
E2F1,PMAIP1,1,TRUE
E2F1,SKP2,1,TRUE
E2F1,TOP1,1,TRUE
E2F1,TP53,1,TRUE
E2F1,ULK1,1,TRUE
ERCC2,ERCC3,1,TRUE
ERCC3,XPC,1,TRUE
FBXO5,FZR1,-1,TRUE
FGFR1,BCAR1,1,TRUE
FGFR1,LDHA,1,TRUE
GMPS,Gene1565__GMPS,1,TRUE
GOT1,Gene3636__GOT1,1,TRUE
GOT1,Gene5472__GOT1,1,TRUE
GOT1,Gene5761__GOT1,1,TRUE
GOT1,Gene7347__GOT1,1,TRUE
GOT1,Gene7350__GOT1,1,TRUE
GOT1,Gene965__GOT1,1,TRUE
Gene1016100002__SLC16A1,Metab__HMDB0000190_e,1,TRUE
Gene1016500002__SLC16A1,Metab__HMDB0000190_e,1,TRUE
Gene1016700002__SLC16A1,Metab__HMDB0000190_e,1,TRUE
Gene1017200002__SLC16A1,Metab__HMDB0000190_c,1,TRUE
Gene1017300002__SLC16A1,Metab__HMDB0000190_c,1,TRUE
Gene1338__AKR1B1,Metab__HMDB0000247_c,1,TRUE
Gene140__AKR1B1,Metab__HMDB0006961_c,1,TRUE
Gene141__AKR1A1,Metab__HMDB0006213_c,1,TRUE
Gene141__AKR1B1,Metab__HMDB0006213_c,1,TRUE
Gene141__AKR7A2,Metab__HMDB0006213_c,1,TRUE
Gene1546__GGT7,Metab__HMDB0000148_c,1,TRUE
Gene1546__GGT7_reverse,Metab__HMDB0000125_c,1,TRUE
Gene1563__GMPR2,Metab__HMDB0000051_c,1,TRUE
Gene1563__GMPR2,Metab__HMDB0000175_c,1,TRUE
Gene1563__GMPR2_reverse,Metab__HMDB0001397_c,1,TRUE
Gene1565__GMPS,Metab__HMDB0001397_c,1,TRUE
Gene156__AKR1B1,Metab__HMDB0001851_c,1,TRUE
Gene1574__HK2,Metab__HMDB0001508_c,1,TRUE
Gene1587__IDH1_reverse,Metab__HMDB0000193_m,1,TRUE
Gene1587__IDH2_reverse,Metab__HMDB0000193_m,1,TRUE
Gene168700002__SLC25A1,Metab__HMDB0000193_c,1,TRUE
Gene168800001__SLC25A1,Metab__HMDB0000094_m,1,TRUE
Gene172900002__orphanReacr1148,Metab__HMDB0000193_c,1,TRUE
Gene17500002__SLC25A12,Metab__HMDB0000148_m,1,TRUE
Gene17500002__SLC25A13,Metab__HMDB0000148_m,1,TRUE
Gene205500002__SLC16A1,Metab__HMDB0000190_c,1,TRUE
Gene220500001__SLC25A1,Metab__HMDB0000094_c,1,TRUE
Gene220600001__SLC25A1,Metab__HMDB0000193_c,1,TRUE
Gene220800002__SLC25A1,Metab__HMDB0000094_m,1,TRUE
Gene221400002__SLC25A1,Metab__HMDB0000094_m,1,TRUE
Gene221500003__SLC25A1,Metab__HMDB0000193_m,1,TRUE
Gene221700003__SLC25A1,Metab__HMDB0000193_m,1,TRUE
Gene221900002__SLC25A1,Metab__HMDB0000193_m,1,TRUE
Gene222200002__SLC16A1,Metab__HMDB0000190_c,1,TRUE
Gene2759__orphanReacLACLt,Metab__HMDB0000190_c,1,TRUE
Gene2970__orphanReacC05953t_TRANSPORTER2,Metab__HMDB0000190_c,1,TRUE
Gene2970__orphanReacC05953t_TRANSPORTER3_reverse,Metab__HMDB0000190_e,1,TRUE
Gene2972__orphanReacC06439t_TRANSPORTER2,Metab__HMDB0000190_c,1,TRUE
Gene2972__orphanReacC06439t_TRANSPORTER3_reverse,Metab__HMDB0000190_e,1,TRUE
Gene3636__GOT1,Metab__HMDB0000148_c,1,TRUE
Gene3753__IDH1_reverse,Metab__HMDB0000193_c,1,TRUE
Gene3753__IDH2_reverse,Metab__HMDB0000193_c,1,TRUE
Gene3825__ACO1,Metab__HMDB0000193_c,1,TRUE
Gene3825__ACO1_reverse,Metab__HMDB0000094_c,1,TRUE
Gene3825__IREB2,Metab__HMDB0000193_c,1,TRUE
Gene3825__IREB2_reverse,Metab__HMDB0000094_c,1,TRUE
Gene3830__PFAS,Metab__HMDB0000148_c,1,TRUE
Gene39400001__SLC25A19,Metab__HMDB0001508_m,1,TRUE
Gene39500001__SLC25A19,Metab__HMDB0001508_m,1,TRUE
Gene39600002__SLC25A19,Metab__HMDB0001508_m,1,TRUE
Gene39900001__SLC25A19,Metab__HMDB0001508_c,1,TRUE
Gene41100001__SLC25A19,Metab__HMDB0001508_c,1,TRUE
Gene41500001__SLC25A19,Metab__HMDB0001508_c,1,TRUE
Gene42100001__SLC25A19,Metab__HMDB0001508_c,1,TRUE
Gene5472__GOT1,Metab__HMDB0000148_c,1,TRUE
Gene5594__ADH5,Metab__HMDB0003052_c,1,TRUE
Gene5761__GOT1,Metab__HMDB0000148_c,1,TRUE
Gene585900002__SLC25A19,Metab__HMDB0001508_m,1,TRUE
Gene586200001__SLC25A19,Metab__HMDB0001508_c,1,TRUE
Gene587500001__SLC25A19,Metab__HMDB0001508_c,1,TRUE
Gene616500001__SLC25A1,Metab__HMDB0000094_c,1,TRUE
Gene616600001__SLC25A1,Metab__HMDB0000193_c,1,TRUE
Gene616700002__SLC25A1,Metab__HMDB0000094_c,1,TRUE
Gene616800001__SLC25A1,Metab__HMDB0000193_c,1,TRUE
Gene618000003__SLC25A1,Metab__HMDB0000094_m,1,TRUE
Gene618100002__SLC25A1,Metab__HMDB0000193_m,1,TRUE
Gene619000002__SLC25A1,Metab__HMDB0000193_c,1,TRUE
Gene665500001__orphanReac15KPROSTGF2t,Metab__HMDB0000190_c,1,TRUE
Gene685800001__orphanReacC05957t,Metab__HMDB0000190_c,1,TRUE
Gene687800001__orphanReacCE0955te,Metab__HMDB0000190_c,1,TRUE
Gene690800001__orphanReacCE5304t,Metab__HMDB0000190_c,1,TRUE
Gene7100__orphanReacASPGLUr,Metab__HMDB0000148_c,1,TRUE
Gene7100__orphanReacASPGLUr_reverse,Metab__aspglu_c,1,TRUE
Gene7220__CAD,Metab__HMDB0000148_c,1,TRUE
Gene7338__LDHA_reverse,Metab__HMDB0000190_c,1,TRUE
Gene7347__GOT1,Metab__HMDB0000148_c,1,TRUE
Gene7350__GOT1,Metab__HMDB0000148_c,1,TRUE
Gene757700002__BSG,Metab__HMDB0000190_c,1,TRUE
Gene757700002__SLC16A1,Metab__HMDB0000190_c,1,TRUE
Gene757700002__SLC16A3,Metab__HMDB0000190_c,1,TRUE
Gene80100002__SLC35C1,Metab__HMDB0001397_c,1,TRUE
Gene8253__orphanReacICITt_x,Metab__HMDB0000193_c,1,TRUE
Gene8253__orphanReacICITt_x_reverse,Metab__HMDB0000193_x,1,TRUE
Gene840800002__SLC25A12,Metab__HMDB0000148_m,1,TRUE
Gene840800002__SLC25A13,Metab__HMDB0000148_m,1,TRUE
Gene849__orphanReacGMPtg,Metab__HMDB0001397_g,1,TRUE
Gene849__orphanReacGMPtg_reverse,Metab__HMDB0001397_c,1,TRUE
Gene906400002__SLC25A12,Metab__HMDB0000148_m,1,TRUE
Gene906400002__SLC25A13,Metab__HMDB0000148_m,1,TRUE
Gene906400002__SLC25A22,Metab__HMDB0000148_m,1,TRUE
Gene9155__IDH2_reverse,Metab__HMDB0000193_m,1,TRUE
Gene9172__LDHA_reverse,Metab__HMDB0000190_m,1,TRUE
Gene918200002__SLC16A1,Metab__HMDB0000190_m,1,TRUE
Gene965__GOT1,Metab__HMDB0000148_c,1,TRUE
Gene9694__LDHA,Metab__HMDB0000243_x,1,TRUE
Gene9694__LDHA_reverse,Metab__HMDB0000190_x,1,TRUE
Gene9694__LDHB,Metab__HMDB0000243_x,1,TRUE
Gene9694__LDHB_reverse,Metab__HMDB0000190_x,1,TRUE
Gene9703__DHFR,Metab__HMDB0001846_m,1,TRUE
Gene9711__ACO1,Metab__HMDB0000072_m,1,TRUE
Gene9711__ACO1_reverse,Metab__HMDB0000094_m,1,TRUE
Gene9711__ACO2,Metab__HMDB0000072_m,1,TRUE
Gene9711__ACO2_reverse,Metab__HMDB0000094_m,1,TRUE
Gene9718__HK2,Metab__HMDB0001508_c,1,TRUE
Gene9731__IDH1_reverse,Metab__HMDB0000193_x,1,TRUE
Gene9731__IDH2_reverse,Metab__HMDB0000193_x,1,TRUE
Gene9732__ACO1,Metab__HMDB0000072_m,1,TRUE
Gene9732__ACO2,Metab__HMDB0000072_m,1,TRUE
Gene9747__DHFR,Metab__HMDB0000121_c,1,TRUE
Gene97__ACO1,Metab__HMDB0000193_m,1,TRUE
Gene97__ACO1_reverse,Metab__HMDB0000094_m,1,TRUE
Gene97__ACO2,Metab__HMDB0000193_m,1,TRUE
Gene97__ACO2_reverse,Metab__HMDB0000094_m,1,TRUE
Gene982400001__orphanReacr0911,Metab__HMDB0000148_c,1,TRUE
Gene982500001__SLC25A1,Metab__HMDB0000094_m,1,TRUE
Gene982500002__SLC25A1,Metab__HMDB0000193_c,1,TRUE
Gene986100002__SLC25A1,Metab__HMDB0000193_c,1,TRUE
HK2,Gene1574__HK2,1,TRUE
HK2,Gene9119__HK2,1,TRUE
HK2,Gene9716__HK2,1,TRUE
HK2,Gene9717__HK2,1,TRUE
HK2,Gene9718__HK2,1,TRUE
IDH1,Gene1587__IDH1_reverse,1,TRUE
IDH1,Gene3753__IDH1_reverse,1,TRUE
IDH1,Gene9731__IDH1_reverse,1,TRUE
IDH2,Gene1587__IDH2_reverse,1,TRUE
IDH2,Gene3753__IDH2_reverse,1,TRUE
IDH2,Gene9155__IDH2_reverse,1,TRUE
IDH2,Gene9731__IDH2_reverse,1,TRUE
IREB2,Gene3825__IREB2,1,TRUE
IREB2,Gene3825__IREB2_reverse,1,TRUE
LDHA,Gene7338__LDHA_reverse,1,TRUE
LDHA,Gene9172__LDHA_reverse,1,TRUE
LDHA,Gene9694__LDHA,1,TRUE
LDHA,Gene9694__LDHA_reverse,1,TRUE
MAP2K2,MAPK1,1,TRUE
MAPK1,CAD,1,TRUE
MAPK1,CDK2,1,TRUE
MAPK1,CEBPB,1,TRUE
MAPK1,E2F1,1,TRUE
MAPK1,ETV3,-1,TRUE
MAPK1,NUP50,-1,TRUE
MAPK1,PFAS,1,TRUE
MAPK1,SMAD1,-1,TRUE
MAPK1,SPHK2,1,TRUE
MAPK1,TP53,1,TRUE
MAPK1,TSC1,-1,TRUE
MAPK1,TSC2,-1,TRUE
Metab__HMDB0000051_c,Gene1102__orphanReacNH4tn,1,TRUE
Metab__HMDB0000051_c,Gene1103__orphanReacNH4tp,1,TRUE
Metab__HMDB0000051_c,Gene1107__SLC12A2_reverse,1,TRUE
Metab__HMDB0000051_c,Gene1563__GMPR2_reverse,1,TRUE
Metab__HMDB0000051_c,Gene1565__GMPS,1,TRUE
Metab__HMDB0000051_c,Gene3787__orphanReacNH4t_reverse,1,TRUE
Metab__HMDB0000051_c,Gene4213__orphanReacNH4tr,1,TRUE
Metab__HMDB0000051_c,Gene9272__SLC9A1_reverse,1,TRUE
Metab__HMDB0000072_m,Gene220700002__SLC25A1,1,TRUE
Metab__HMDB0000072_m,Gene617500002__SLC25A1,1,TRUE
Metab__HMDB0000072_m,Gene617600002__SLC25A1,1,TRUE
Metab__HMDB0000072_m,Gene619100002__SLC25A1,1,TRUE
Metab__HMDB0000072_m,Gene9711__ACO1_reverse,1,TRUE
Metab__HMDB0000072_m,Gene9711__ACO2_reverse,1,TRUE
Metab__HMDB0000094_c,Gene168800001__SLC25A1,1,TRUE
Metab__HMDB0000094_c,Gene220800002__SLC25A1,1,TRUE
Metab__HMDB0000094_c,Gene221400002__SLC25A1,1,TRUE
Metab__HMDB0000094_c,Gene3825__ACO1,1,TRUE
Metab__HMDB0000094_c,Gene3825__IREB2,1,TRUE
Metab__HMDB0000094_c,Gene618000003__SLC25A1,1,TRUE
Metab__HMDB0000094_c,Gene982500001__SLC25A1,1,TRUE
Metab__HMDB0000094_m,Gene220500001__SLC25A1,1,TRUE
Metab__HMDB0000094_m,Gene616500001__SLC25A1,1,TRUE
Metab__HMDB0000094_m,Gene616700002__SLC25A1,1,TRUE
Metab__HMDB0000094_m,Gene9711__ACO1,1,TRUE
Metab__HMDB0000094_m,Gene9711__ACO2,1,TRUE
Metab__HMDB0000094_m,Gene97__ACO1,1,TRUE
Metab__HMDB0000094_m,Gene97__ACO2,1,TRUE
Metab__HMDB0000121_c,Gene8928__DHFR,1,TRUE
Metab__HMDB0000121_c,Gene9747__DHFR_reverse,1,TRUE
Metab__HMDB0000125_c,Gene1546__GGT7,1,TRUE
Metab__HMDB0000125_c,Gene657__ADH5,1,TRUE
Metab__HMDB0000148_c,Gene1546__GGT7_reverse,1,TRUE
Metab__HMDB0000148_c,Gene17500002__SLC25A12,1,TRUE
Metab__HMDB0000148_c,Gene17500002__SLC25A13,1,TRUE
Metab__HMDB0000148_c,Gene7100__orphanReacASPGLUr_reverse,1,TRUE
Metab__HMDB0000148_c,Gene840800002__SLC25A12,1,TRUE
Metab__HMDB0000148_c,Gene840800002__SLC25A13,1,TRUE
Metab__HMDB0000148_c,Gene906400002__SLC25A12,1,TRUE
Metab__HMDB0000148_c,Gene906400002__SLC25A13,1,TRUE
Metab__HMDB0000148_c,Gene906400002__SLC25A22,1,TRUE
Metab__HMDB0000148_m,Gene982400001__orphanReacr0911,1,TRUE
Metab__HMDB0000175_c,Gene1563__GMPR2_reverse,1,TRUE
Metab__HMDB0000175_c,Gene3858__ATIC,1,TRUE
Metab__HMDB0000175_c,Gene7634__NT5C2,1,TRUE
Metab__HMDB0000175_c,Gene7634__NT5C3A,1,TRUE
Metab__HMDB0000175_c,Gene7634__NT5E,1,TRUE
Metab__HMDB0000190_c,Gene1016100002__SLC16A1,1,TRUE
Metab__HMDB0000190_c,Gene1016500002__SLC16A1,1,TRUE
Metab__HMDB0000190_c,Gene1016700002__SLC16A1,1,TRUE
Metab__HMDB0000190_c,Gene2970__orphanReacC05953t_TRANSPORTER3_reverse,1,TRUE
Metab__HMDB0000190_c,Gene2972__orphanReacC06439t_TRANSPORTER3_reverse,1,TRUE
Metab__HMDB0000190_c,Gene918200002__SLC16A1,1,TRUE
Metab__HMDB0000190_e,Gene1017200002__SLC16A1,1,TRUE
Metab__HMDB0000190_e,Gene1017300002__SLC16A1,1,TRUE
Metab__HMDB0000190_e,Gene205500002__SLC16A1,1,TRUE
Metab__HMDB0000190_e,Gene2970__orphanReacC05953t_TRANSPORTER2,1,TRUE
Metab__HMDB0000190_e,Gene2972__orphanReacC06439t_TRANSPORTER2,1,TRUE
Metab__HMDB0000190_e,Gene665500001__orphanReac15KPROSTGF2t,1,TRUE
Metab__HMDB0000190_e,Gene685800001__orphanReacC05957t,1,TRUE
Metab__HMDB0000190_e,Gene687800001__orphanReacCE0955te,1,TRUE
Metab__HMDB0000190_e,Gene690800001__orphanReacCE5304t,1,TRUE
Metab__HMDB0000190_e,Gene757700002__BSG,1,TRUE
Metab__HMDB0000190_e,Gene757700002__SLC16A1,1,TRUE
Metab__HMDB0000190_e,Gene757700002__SLC16A3,1,TRUE
Metab__HMDB0000190_x,Gene222200002__SLC16A1,1,TRUE
Metab__HMDB0000190_x,Gene2759__orphanReacLACLt,1,TRUE
Metab__HMDB0000190_x,Gene9694__LDHA,1,TRUE
Metab__HMDB0000190_x,Gene9694__LDHB,1,TRUE
Metab__HMDB0000193_c,Gene221500003__SLC25A1,1,TRUE
Metab__HMDB0000193_c,Gene221700003__SLC25A1,1,TRUE
Metab__HMDB0000193_c,Gene221900002__SLC25A1,1,TRUE
Metab__HMDB0000193_c,Gene3825__ACO1_reverse,1,TRUE
Metab__HMDB0000193_c,Gene3825__IREB2_reverse,1,TRUE
Metab__HMDB0000193_c,Gene618100002__SLC25A1,1,TRUE
Metab__HMDB0000193_c,Gene6747__orphanReacICITtr_reverse,1,TRUE
Metab__HMDB0000193_c,Gene8253__orphanReacICITt_x_reverse,1,TRUE
Metab__HMDB0000193_m,Gene168700002__SLC25A1,1,TRUE
Metab__HMDB0000193_m,Gene220600001__SLC25A1,1,TRUE
Metab__HMDB0000193_m,Gene616600001__SLC25A1,1,TRUE
Metab__HMDB0000193_m,Gene616800001__SLC25A1,1,TRUE
Metab__HMDB0000193_m,Gene619000002__SLC25A1,1,TRUE
Metab__HMDB0000193_m,Gene9732__ACO1,1,TRUE
Metab__HMDB0000193_m,Gene9732__ACO2,1,TRUE
Metab__HMDB0000193_m,Gene97__ACO1_reverse,1,TRUE
Metab__HMDB0000193_m,Gene97__ACO2_reverse,1,TRUE
Metab__HMDB0000193_m,Gene982500002__SLC25A1,1,TRUE
Metab__HMDB0000193_m,Gene986100002__SLC25A1,1,TRUE
Metab__HMDB0000193_x,Gene172900002__orphanReacr1148,1,TRUE
Metab__HMDB0000193_x,Gene8253__orphanReacICITt_x,1,TRUE
Metab__HMDB0000243_x,Gene9694__LDHA_reverse,1,TRUE
Metab__HMDB0000243_x,Gene9694__LDHB_reverse,1,TRUE
