source,target,sign,consistency
Gene1260__UPP1_reverse,Metab__HMDB0000296_c,1,TRUE
Gene1465__orphanReacUDPGLCter_TRANSPORTER2,Metab__HMDB0000288_c,1,TRUE
Gene1465__orphanReacUDPGLCter_TRANSPORTER3_reverse,Metab__HMDB0000288_r,1,TRUE
Gene147000001__orphanReacUDPXYLter,Metab__HMDB0000288_c,1,TRUE
Gene1489__orphanReacUMPtr,Metab__HMDB0000288_r,1,TRUE
Gene1489__orphanReacUMPtr_reverse,Metab__HMDB0000288_c,1,TRUE
Gene1493__SLC29A1,Metab__HMDB0000296_c,1,TRUE
Gene1493__SLC29A1_reverse,Metab__HMDB0000296_e,1,TRUE
Gene1618__PFKL,Metab__HMDB0001546_c,1,TRUE
Gene3776__NT5C3A,Metab__HMDB0000296_c,1,TRUE
Gene5778__CMPK1,Metab__HMDB0001546_c,1,TRUE
Gene7584__NME3_reverse,Metab__HMDB0001546_c,1,TRUE
Gene7584__NME7_reverse,Metab__HMDB0001546_c,1,TRUE
Gene9626__CMPK1,Metab__HMDB0001546_c,1,TRUE
Gene9626__CMPK1_reverse,Metab__HMDB0000082_c,1,TRUE
Gene9626__CMPK1_reverse,Metab__HMDB0000288_c,1,TRUE
Gene9635__UCK1,Metab__HMDB0000288_c,1,TRUE
Gene9635__UCK2,Metab__HMDB0000288_c,1,TRUE
Gene9635__UCKL1,Metab__HMDB0000288_c,1,TRUE
Gene9863__UCK1,Metab__HMDB0000288_c,1,TRUE
Gene9863__UCK2,Metab__HMDB0000288_c,1,TRUE
Gene9863__UCKL1,Metab__HMDB0000288_c,1,TRUE
Metab__HMDB0000082_c,Gene1618__PFKL,1,TRUE
Metab__HMDB0000082_c,Gene5703__PCYT1A,1,TRUE
Metab__HMDB0000082_c,Gene5778__CMPK1,1,TRUE
Metab__HMDB0000082_c,Gene7584__NME3_reverse,1,TRUE
Metab__HMDB0000082_c,Gene7584__NME7_reverse,1,TRUE
Metab__HMDB0000082_c,Gene9626__CMPK1,1,TRUE
Metab__HMDB0000288_c,Gene146400002__orphanReacUDPGLCAtg,1,TRUE
Metab__HMDB0000288_c,Gene1465__orphanReacUDPGLCter_TRANSPORTER3_reverse,1,TRUE
Metab__HMDB0000288_c,Gene1489__orphanReacUMPtr,1,TRUE
Metab__HMDB0000288_c,Gene3776__NT5C3A,1,TRUE
Metab__HMDB0000288_c,Gene9626__CMPK1,1,TRUE
Metab__HMDB0000288_r,Gene1465__orphanReacUDPGLCter_TRANSPORTER2,1,TRUE
Metab__HMDB0000288_r,Gene147000001__orphanReacUDPXYLter,1,TRUE
Metab__HMDB0000288_r,Gene1489__orphanReacUMPtr_reverse,1,TRUE
Metab__HMDB0000296_c,Gene1493__SLC29A1_reverse,1,TRUE
Metab__HMDB0000296_c,Gene9635__UCK1,1,TRUE
Metab__HMDB0000296_c,Gene9635__UCK2,1,TRUE
Metab__HMDB0000296_c,Gene9635__UCKL1,1,TRUE
Metab__HMDB0000296_c,Gene9863__UCK1,1,TRUE
Metab__HMDB0000296_c,Gene9863__UCK2,1,TRUE
Metab__HMDB0000296_c,Gene9863__UCKL1,1,TRUE
Metab__HMDB0000296_e,Gene1493__SLC29A1,1,TRUE
Metab__HMDB0001546_c,Gene9626__CMPK1_reverse,1,TRUE
STAT1,ISG15,1,TRUE
STAT1,UPP1,1,TRUE
UPP1,Gene1260__UPP1_reverse,1,TRUE
