source,target,sign,consistency
ANAPC5,ANAPC7,1,TRUE
ANAPC5,CDC16,1,TRUE
ANAPC5,CDC23,1,TRUE
ANAPC5,CDC27,1,TRUE
ANAPC5,FZR1,1,TRUE
ANAPC7,ANAPC5,1,TRUE
ANAPC7,CDC16,1,TRUE
ANAPC7,CDC23,1,TRUE
ANAPC7,CDC27,1,TRUE
ANAPC7,FZR1,1,TRUE
BRD4,EP300,1,TRUE
BRD4,MYC,-1,TRUE
BSG,Gene757700002__BSG,1,TRUE
CCNA2,SKP2,1,TRUE
CDC16,ANAPC5,1,TRUE
CDC16,ANAPC7,1,TRUE
CDC16,CDC23,1,TRUE
CDC16,CDC26,1,TRUE
CDC16,CDC27,1,TRUE
CDC16,FZR1,1,TRUE
CDC20,ANAPC7,1,TRUE
CDC20,CCNA2,-1,TRUE
CDC20,CDC16,1,TRUE
CDC20,CDC27,1,TRUE
CDC20,FZR1,1,TRUE
CDC23,ANAPC5,1,TRUE
CDC23,ANAPC7,1,TRUE
CDC23,CDC16,1,TRUE
CDC23,CDC27,1,TRUE
CDC23,FZR1,1,TRUE
CDC26,CDC16,1,TRUE
CDC26,CDC27,1,TRUE
CDC27,ANAPC5,1,TRUE
CDC27,ANAPC7,1,TRUE
CDC27,CDC16,1,TRUE
CDC27,CDC20,1,TRUE
CDC27,CDC23,1,TRUE
CDC27,CDC26,1,TRUE
CDC27,FZR1,1,TRUE
CDK4,CTBP1,1,TRUE
CDK4,FOXM1,1,TRUE
CDK4,PKM,1,TRUE
CDK4,PRKAR1A,1,TRUE
CDK4,RASSF1,-1,TRUE
CDK4,RBL1,-1,TRUE
CTBP1,EP300,-1,TRUE
DDX5,HDAC1,1,TRUE
DHCR24,Gene2755__DHCR24,1,TRUE
DHCR24,Gene4425__DHCR24,1,TRUE
DHCR24,Gene5820__DHCR24,1,TRUE
ENO1,Gene7225__ENO1,1,TRUE
ENO1,Gene7225__ENO1_reverse,1,TRUE
EP300,DDX5,1,TRUE
EP300,KPNA2,1,TRUE
EP300,MYC,-1,TRUE
FOXM1,MYC,1,TRUE
FZR1,ANAPC5,1,TRUE
FZR1,CDC16,1,TRUE
FZR1,CDC23,1,TRUE
FZR1,CDC27,1,TRUE
Gene1020__SUCLG1_SUCLG2,Metab__HMDB0001201_m,1,TRUE
Gene1020__SUCLG1_SUCLG2_reverse,Metab__HMDB0000749_m,1,TRUE
Gene1020__SUCLG1_SUCLG2_reverse,Metab__HMDB0001273_m,1,TRUE
Gene1097__NME1_NME2_reverse,Metab__HMDB0001274_n,1,TRUE
Gene1097__NME2_NME1_reverse,Metab__HMDB0001274_n,1,TRUE
Gene1100__NME1_NME2,Metab__HMDB0000998_n,1,TRUE
Gene1100__NME2_NME1,Metab__HMDB0000998_n,1,TRUE
Gene1396__orphanReacSUCCtp,Metab__HMDB0000254_x,1,TRUE
Gene1396__orphanReacSUCCtp_reverse,Metab__HMDB0000254_c,1,TRUE
Gene1484__CMPK1,Metab__HMDB0001508_c,1,TRUE
Gene1486__CMPK1,Metab__HMDB0000960_c,1,TRUE
Gene1487__CMPK1,Metab__HMDB0000960_n,1,TRUE
Gene1487__CMPK1_reverse,Metab__HMDB0001440_n,1,TRUE
Gene1587__IDH1_reverse,Metab__HMDB0000193_m,1,TRUE
Gene1618__PFKL,Metab__HMDB0001546_c,1,TRUE
Gene168800001__SLC25A1,Metab__HMDB0000094_m,1,TRUE
Gene168800002__SLC25A1,Metab__HMDB0000254_c,1,TRUE
Gene1697__orphanReacSPMDtex2,Metab__HMDB0001257_e,1,TRUE
Gene1697__orphanReacSPMDtex2_reverse,Metab__HMDB0001257_c,1,TRUE
Gene1722__orphanReacr1051,Metab__HMDB0000067_r,1,TRUE
Gene1722__orphanReacr1051_reverse,Metab__HMDB0000067_l,1,TRUE
Gene172400002__SLC25A1,Metab__HMDB0000094_c,1,TRUE
Gene220500001__SLC25A1,Metab__HMDB0000094_c,1,TRUE
Gene220600002__SLC25A1,Metab__HMDB0000254_m,1,TRUE
Gene220800002__SLC25A1,Metab__HMDB0000094_m,1,TRUE
Gene220800003__SLC25A1,Metab__HMDB0000254_c,1,TRUE
Gene221400002__SLC25A1,Metab__HMDB0000094_m,1,TRUE
Gene221500003__SLC25A1,Metab__HMDB0000193_m,1,TRUE
Gene221700003__SLC25A1,Metab__HMDB0000193_m,1,TRUE
Gene221900002__SLC25A1,Metab__HMDB0000193_m,1,TRUE
Gene2346__PKM,Metab__HMDB0000243_c,1,TRUE
Gene2346__PKM,Metab__HMDB0001342_c,1,TRUE
Gene2346__PKM_reverse,Metab__HMDB0000263_c,1,TRUE
Gene2346__PKM_reverse,Metab__HMDB0001274_c,1,TRUE
Gene255__orphanReacCHSTEROLt3,Metab__HMDB0000067_m,1,TRUE
Gene255__orphanReacCHSTEROLt3_reverse,Metab__HMDB0000067_c,1,TRUE
Gene2747__orphanReacCHSTEROLtrc,Metab__HMDB0000067_c,1,TRUE
Gene2747__orphanReacCHSTEROLtrc_reverse,Metab__HMDB0000067_r,1,TRUE
Gene2755__DHCR24,Metab__HMDB0000067_r,1,TRUE
Gene2759__orphanReacLACLt,Metab__HMDB0000190_c,1,TRUE
Gene2782__orphanReac5MTAte,Metab__HMDB0001173_c,1,TRUE
Gene2782__orphanReac5MTAte_reverse,Metab__HMDB0001173_e,1,TRUE
Gene2970__orphanReacC05953t_TRANSPORTER2,Metab__HMDB0000190_c,1,TRUE
Gene2970__orphanReacC05953t_TRANSPORTER3_reverse,Metab__HMDB0000190_e,1,TRUE
Gene2972__orphanReacC06439t_TRANSPORTER2,Metab__HMDB0000190_c,1,TRUE
Gene2972__orphanReacC06439t_TRANSPORTER3_reverse,Metab__HMDB0000190_e,1,TRUE
Gene303__orphanReacCTPtn,Metab__HMDB0000082_n,1,TRUE
Gene303__orphanReacCTPtn_reverse,Metab__HMDB0000082_c,1,TRUE
Gene319__CMPK1_reverse,Metab__HMDB0001532_n,1,TRUE
Gene328__CMPK1,Metab__HMDB0001546_c,1,TRUE
Gene328__CMPK1_reverse,Metab__HMDB0000095_c,1,TRUE
Gene330__CMPK1,Metab__HMDB0001508_c,1,TRUE
Gene330__CMPK1,Metab__HMDB0001546_c,1,TRUE
Gene330__CMPK1_reverse,Metab__HMDB0000095_c,1,TRUE
Gene330__CMPK1_reverse,Metab__HMDB0001532_c,1,TRUE
Gene331__CMPK1_reverse,Metab__HMDB0001532_n,1,TRUE
Gene338__orphanReacDATPtn,Metab__HMDB0001532_n,1,TRUE
Gene338__orphanReacDATPtn_reverse,Metab__HMDB0001532_c,1,TRUE
Gene345__orphanReacDCTPtn,Metab__HMDB0000998_n,1,TRUE
Gene345__orphanReacDCTPtn_reverse,Metab__HMDB0000998_c,1,TRUE
Gene3751__AK2,Metab__HMDB0001508_c,1,TRUE
Gene3751__AK2_reverse,Metab__HMDB0000905_c,1,TRUE
Gene3815__CMPK1,Metab__HMDB0001546_c,1,TRUE
Gene3815__CMPK1_reverse,Metab__HMDB0000095_c,1,TRUE
Gene3833__PKM,Metab__HMDB0000243_c,1,TRUE
Gene4425__DHCR24,Metab__HMDB0000067_c,1,TRUE
Gene442__orphanReacDTDPtn,Metab__HMDB0001274_n,1,TRUE
Gene442__orphanReacDTDPtn_reverse,Metab__HMDB0001274_c,1,TRUE
Gene4449__HDLBP,Metab__HMDB0000067_g,1,TRUE
Gene4449__HDLBP_reverse,Metab__HMDB0000067_c,1,TRUE
Gene5537__ACLY,Metab__HMDB0000223_c,1,TRUE
Gene5713__STARD3,Metab__HMDB0000067_m,1,TRUE
Gene5713__STARD3_reverse,Metab__HMDB0000067_l,1,TRUE
Gene5714__orphanReacCHSTEROLt2,Metab__HMDB0000067_m,1,TRUE
Gene5714__orphanReacCHSTEROLt2_reverse,Metab__HMDB0000067_r,1,TRUE
Gene5749__CS,Metab__HMDB0000094_m,1,TRUE
Gene5769__CMPK1,Metab__HMDB0000960_c,1,TRUE
Gene5769__CMPK1,Metab__HMDB0001546_c,1,TRUE
Gene5769__CMPK1_reverse,Metab__HMDB0000095_c,1,TRUE
Gene5769__CMPK1_reverse,Metab__HMDB0001440_c,1,TRUE
Gene5770__CMPK1_reverse,Metab__HMDB0001440_n,1,TRUE
Gene5771__CMPK1,Metab__HMDB0000960_c,1,TRUE
Gene5771__CMPK1,Metab__HMDB0001245_c,1,TRUE
Gene5771__CMPK1_reverse,Metab__HMDB0001202_c,1,TRUE
Gene5771__CMPK1_reverse,Metab__HMDB0001440_c,1,TRUE
Gene5772__CMPK1_reverse,Metab__HMDB0001440_n,1,TRUE
Gene5773__CMPK1,Metab__HMDB0001245_c,1,TRUE
Gene5773__CMPK1,Metab__HMDB0001508_c,1,TRUE
Gene5773__CMPK1_reverse,Metab__HMDB0001202_c,1,TRUE
Gene5773__CMPK1_reverse,Metab__HMDB0001532_c,1,TRUE
Gene5778__CMPK1,Metab__HMDB0001245_c,1,TRUE
Gene5778__CMPK1,Metab__HMDB0001546_c,1,TRUE
Gene5778__CMPK1_reverse,Metab__HMDB0000082_c,1,TRUE
Gene5778__CMPK1_reverse,Metab__HMDB0001202_c,1,TRUE
Gene5779__CMPK1,Metab__HMDB0001245_c,1,TRUE
Gene5779__CMPK1,Metab__HMDB0001546_c,1,TRUE
Gene5779__CMPK1_reverse,Metab__HMDB0000095_c,1,TRUE
Gene5779__CMPK1_reverse,Metab__HMDB0000998_c,1,TRUE
Gene5814__orphanReacDGTPtn,Metab__HMDB0001440_n,1,TRUE
Gene5814__orphanReacDGTPtn_reverse,Metab__HMDB0001440_c,1,TRUE
Gene5820__DHCR24,Metab__HMDB0000067_r,1,TRUE
Gene6133__NME1_reverse,Metab__HMDB0001274_n,1,TRUE
Gene6133__NME1_reverse,Metab__HMDB0001532_n,1,TRUE
Gene6133__NME2_reverse,Metab__HMDB0001274_n,1,TRUE
Gene6133__NME2_reverse,Metab__HMDB0001532_n,1,TRUE
Gene616500001__SLC25A1,Metab__HMDB0000094_c,1,TRUE
Gene616700002__SLC25A1,Metab__HMDB0000094_c,1,TRUE
Gene617500001__SLC25A1,Metab__HMDB0000254_m,1,TRUE
Gene618000003__SLC25A1,Metab__HMDB0000094_m,1,TRUE
Gene618100002__SLC25A1,Metab__HMDB0000193_m,1,TRUE
Gene618100003__SLC25A1,Metab__HMDB0000254_c,1,TRUE
Gene618600002__SLC25A1,Metab__HMDB0000254_c,1,TRUE
Gene619000001__SLC25A1,Metab__HMDB0000263_m,1,TRUE
Gene619100001__SLC25A1,Metab__HMDB0000263_m,1,TRUE
Gene665500001__orphanReac15KPROSTGF2t,Metab__HMDB0000190_c,1,TRUE
Gene685800001__orphanReacC05957t,Metab__HMDB0000190_c,1,TRUE
Gene687800001__orphanReacCE0955te,Metab__HMDB0000190_c,1,TRUE
Gene690800001__orphanReacCE5304t,Metab__HMDB0000190_c,1,TRUE
Gene7155__orphanReacMALOAAtm_TRANSPORTER1,Metab__HMDB0000223_m,1,TRUE
Gene7155__orphanReacMALOAAtm_TRANSPORTER4_reverse,Metab__HMDB0000223_c,1,TRUE
Gene7225__ENO1,Metab__HMDB0000263_c,1,TRUE
Gene7225__ENO1_reverse,Metab__HMDB0000362_c,1,TRUE
Gene7326__SRM,Metab__HMDB0001173_c,1,TRUE
Gene7326__SRM,Metab__HMDB0001257_c,1,TRUE
Gene7338__LDHA,Metab__HMDB0000243_c,1,TRUE
Gene7338__LDHA_reverse,Metab__HMDB0000190_c,1,TRUE
Gene757700002__BSG,Metab__HMDB0000190_c,1,TRUE
Gene7651__CMPK1_reverse,Metab__HMDB0001202_c,1,TRUE
Gene9162__SUCLG1_SUCLG2,Metab__HMDB0001201_m,1,TRUE
Gene9162__SUCLG1_SUCLG2_reverse,Metab__HMDB0001273_m,1,TRUE
Gene9172__LDHA_reverse,Metab__HMDB0000190_m,1,TRUE
