source,target,sign,consistency
ABL1,CEBPB,1,TRUE
ABL1,CTNND1,1,TRUE
ABL1,MTOR,1,TRUE
ABL1,PLK1,1,TRUE
ABL1,STK4,1,TRUE
ABL1,TOP1,1,TRUE
ABL1,VAV2,1,TRUE
ACTB,ABL1,-1,TRUE
ACTB,ARPC2,1,TRUE
ACTB,CFL1,-1,TRUE
AKR1A1,Gene1338__AKR1A1,1,TRUE
AKR1A1,Gene1561__AKR1A1,1,TRUE
AKR1A1,Gene8988__AKR1A1,1,TRUE
AKR1A1,Gene8988__AKR1A1_reverse,1,TRUE
AKR1A1,Gene9706__AKR1A1,1,TRUE
AKT1,HK1,1,TRUE
AKT1,IKBKG,-1,TRUE
AKT1,IRAK1,-1,TRUE
AKT1,MDM2,1,TRUE
AKT1,MVD,1,TRUE
AKT1,PHB2,-1,TRUE
AKT1,RARA,-1,TRUE
AKT1,SLC9A1,1,TRUE
AKT1,TKT,1,TRUE
AKT1,ZYX,-1,TRUE
AKT2,MDM2,1,TRUE
ALDOA,Gene1583__ALDOA,1,TRUE
ALDOA,Gene1583__ALDOA_reverse,1,TRUE
ALDOA,Gene4834__ALDOA,1,TRUE
ALDOA,Gene4834__ALDOA_reverse,1,TRUE
ALDOA,Gene7276__ALDOA,1,TRUE
ALDOA,Gene7276__ALDOA_reverse,1,TRUE
ALDOA,Gene7345__ALDOA,1,TRUE
ALDOA,Gene7345__ALDOA_reverse,1,TRUE
ALDOA,Gene7536__ALDOA,1,TRUE
ALDOA,Gene7536__ALDOA_reverse,1,TRUE
APH1A,PSEN1,1,TRUE
APH1A,PSENEN,1,TRUE
ARPC2,ACTB,1,TRUE
ATF2,PCNA,1,TRUE
AURKA,AKT1,1,TRUE
AURKA,KIF4A,1,TRUE
AURKA,PIN1,-1,TRUE
AURKA,PLK1,1,TRUE
AURKA,RASSF1,-1,TRUE
BSG,Gene757700002__BSG,1,TRUE
CCAR2,SUV39H1,-1,TRUE
CCNA2,SKP2,1,TRUE
CCNA2,TP53,1,TRUE
CCND3,CASP2,1,TRUE
CCND3,CDK6,1,TRUE
CCND3,SUV39H1,1,TRUE
CCNF,FZR1,-1,TRUE
CDC42,PAK4,1,TRUE
CDK1,ABL1,1,TRUE
CDK1,KIF4A,1,TRUE
CDK1,KMT5A,1,TRUE
CDK1,NME1,1,TRUE
CDK1,PLK1,1,TRUE
CDK1,PRC1,1,TRUE
CDK1,PRDX1,-1,TRUE
CDK1,UBXN2B,-1,TRUE
CDK2,CCNA2,1,TRUE
CDK2,LIG1,1,TRUE
CDK2,MDM2,-1,TRUE
CDK2,NFYA,1,TRUE
CDK2,SKP2,1,TRUE
CDK2,SP1,1,TRUE
CDK2,TP53,1,TRUE
CDK2,UBE2A,1,TRUE
CDK6,PRDX1,-1,TRUE
CDK6,SUV39H1,1,TRUE
CEBPB,FURIN,1,TRUE
CEBPB,GOT1,1,TRUE
CFL1,ACTA1,1,TRUE
CSNK2A1,BID,1,TRUE
CSNK2A1,CALM1,-1,TRUE
CSNK2A1,CASP2,-1,TRUE
CSNK2A1,CCAR2,1,TRUE
CSNK2A1,CCNF,-1,TRUE
CSNK2A1,GPI,-1,TRUE
CSNK2A1,LIG1,1,TRUE
CSNK2A1,NFE2L2,-1,TRUE
CSNK2A1,RELA,1,TRUE
CSNK2A1,SEC63,1,TRUE
CSNK2A1,SET,-1,TRUE
CSNK2A1,TCOF1,1,TRUE
CSNK2A1,TELO2,-1,TRUE
CSNK2A1,TP53,1,TRUE
CTNND1,VAV2,1,TRUE
CTSB,BID,1,TRUE
DHFR,Gene1559__DHFR,1,TRUE
DHFR,Gene3666__DHFR,1,TRUE
DHFR,Gene3666__DHFR_reverse,1,TRUE
DHFR,Gene8928__DHFR,1,TRUE
DHFR,Gene9703__DHFR,1,TRUE
DHFR,Gene9747__DHFR,1,TRUE
DHFR,Gene9747__DHFR_reverse,1,TRUE
ECT2,CDC42,1,TRUE
EIF3F,NOTCH1,1,TRUE
EZR,ACTB,1,TRUE
FH,ATF2,1,TRUE
FH,Gene4741__FH,1,TRUE
FH,Gene7542__FH,1,TRUE
FH,Gene7542__FH_reverse,1,TRUE
FH,Gene8947__FH,1,TRUE
FH,Gene8947__FH_reverse,1,TRUE
FURIN,NOTCH1,1,TRUE
G6PD,Gene753__G6PD,1,TRUE
G6PD,Gene753__G6PD_reverse,1,TRUE
G6PD,Gene7544__G6PD,1,TRUE
G6PD,Gene7544__G6PD_reverse,1,TRUE
GAPDH,Gene7546__GAPDH_reverse,1,TRUE
GMPS,Gene1565__GMPS,1,TRUE
GMPS,Gene7572__GMPS,1,TRUE
GOT1,Gene5761__GOT1_reverse,1,TRUE
GOT1,Gene7347__GOT1_reverse,1,TRUE
GOT1,Gene7350__GOT1_reverse,1,TRUE
GOT1,Gene965__GOT1_reverse,1,TRUE
GPI,Gene4822__GPI,1,TRUE
GPI,Gene4822__GPI_reverse,1,TRUE
GPI,Gene4823__GPI,1,TRUE
GPI,Gene4823__GPI_reverse,1,TRUE
GPI,Gene7283__GPI,1,TRUE
GPI,Gene7283__GPI_reverse,1,TRUE
Gene1002000002__SLC7A6,Metab__HMDB0000123_e,1,TRUE
Gene1002900002__SLC7A6,Metab__HMDB0000123_e,1,TRUE
Gene1004600002__SLC7A6,Metab__HMDB0000123_e,1,TRUE
Gene1006400002__SLC7A6,Metab__HMDB0000123_e,1,TRUE
Gene1006900002__SLC7A6,Metab__HMDB0000123_c,1,TRUE
Gene1007100002__SLC7A6,Metab__HMDB0000123_c,1,TRUE
Gene100800002__SLC25A10,Metab__HMDB0000156_m,1,TRUE
Gene1010__SLC2A1,Metab__HMDB0000169_c,1,TRUE
Gene10513__UGCG,Metab__gluside_hs_c,1,TRUE
Gene1101__NME1_NME2,Metab__HMDB0000189_n,1,TRUE
Gene1101__NME1_NME2_reverse,Metab__HMDB0003335_n,1,TRUE
Gene1101__NME2_NME1,Metab__HMDB0000189_n,1,TRUE
Gene1101__NME2_NME1_reverse,Metab__HMDB0003335_n,1,TRUE
Gene1102__orphanReacNH4tn,Metab__HMDB0000051_n,1,TRUE
Gene1102__orphanReacNH4tn_reverse,Metab__HMDB0000051_c,1,TRUE
Gene1103__orphanReacNH4tp,Metab__HMDB0000051_x,1,TRUE
Gene1103__orphanReacNH4tp_reverse,Metab__HMDB0000051_c,1,TRUE
Gene12300002__SLC25A10,Metab__HMDB0000156_m,1,TRUE
Gene12300002__SLC25A11,Metab__HMDB0000156_m,1,TRUE
Gene12700002__orphanReacSLC_complex_3,Metab__HMDB0000123_e,1,TRUE
Gene1337__SORD,Metab__HMDB0000660_c,1,TRUE
Gene1338__AKR1A1,Metab__HMDB0000247_c,1,TRUE
Gene1338__AKR7A2,Metab__HMDB0000247_c,1,TRUE
Gene134200001__orphanReacSLC_complex_3,Metab__HMDB0000123_e,1,TRUE
Gene1397__SDHA_SDHD_SDHC_SDHB,Metab__HMDB0000134_m,1,TRUE
Gene1397__SDHA_SDHD_SDHC_SDHB_reverse,Metab__HMDB0000254_m,1,TRUE
Gene1416__orphanReacTHFtm,Metab__HMDB0001846_m,1,TRUE
Gene1416__orphanReacTHFtm_reverse,Metab__HMDB0001846_c,1,TRUE
Gene142500001__orphanReacSLC_complex_3,Metab__HMDB0000123_e,1,TRUE
Gene1465__orphanReacUDPGLCter_TRANSPORTER1,Metab__HMDB0000286_r,1,TRUE
Gene1465__orphanReacUDPGLCter_TRANSPORTER4_reverse,Metab__HMDB0000286_c,1,TRUE
Gene1472__B4GALT2,Metab__HMDB0000186_g,1,TRUE
Gene1484__CMPK1,Metab__HMDB0001508_c,1,TRUE
Gene1484__CMPK1_reverse,Metab__HMDB0001532_c,1,TRUE
Gene1542__IDH1,Metab__HMDB0000208_m,1,TRUE
Gene1542__IDH2,Metab__HMDB0000208_m,1,TRUE
Gene1559__DHFR,Metab__HMDB0001846_c,1,TRUE
Gene1561__AKR1A1,Metab__HMDB0001051_m,1,TRUE
Gene1563__GMPR2,Metab__HMDB0000051_c,1,TRUE
Gene1563__GMPR2,Metab__HMDB0000175_c,1,TRUE
Gene1563__GMPR2_reverse,Metab__HMDB0001397_c,1,TRUE
Gene1565__GMPS,Metab__HMDB0001397_c,1,TRUE
Gene1571__HK1,Metab__HMDB0001401_c,1,TRUE
Gene1571__HK1,Metab__HMDB0003335_c,1,TRUE
Gene1572__HK1,Metab__HMDB0001401_c,1,TRUE
Gene1572__HK1,Metab__HMDB0001508_c,1,TRUE
Gene1573__HK1,Metab__HMDB0001508_c,1,TRUE
Gene1573__HK1,Metab__HMDB0003971_c,1,TRUE
Gene1574__HK1,Metab__HMDB0001508_c,1,TRUE
Gene1583__ALDOA,Metab__HMDB0001321_c,1,TRUE
Gene1583__ALDOA,Metab__HMDB0001473_c,1,TRUE
Gene1583__ALDOA_reverse,Metab__HC00361_c,1,TRUE
Gene1584__PFKL,Metab__HC00361_c,1,TRUE
Gene1585__PFKL,Metab__HC00361_c,1,TRUE
Gene1587__IDH1,Metab__HMDB0003974_m,1,TRUE
Gene1587__IDH2,Metab__HMDB0003974_m,1,TRUE
Gene166900002__SLC25A10,Metab__HMDB0000254_c,1,TRUE
Gene167000001__SLC25A10,Metab__HMDB0000156_c,1,TRUE
Gene167000002__SLC25A10,Metab__HMDB0000134_m,1,TRUE
Gene167200002__SLC25A10,Metab__HMDB0000254_m,1,TRUE
Gene1677__orphanReacr0842,Metab__HMDB0000286_r,1,TRUE
Gene1677__orphanReacr0842_reverse,Metab__HMDB0000286_c,1,TRUE
Gene168700001__SLC25A1,Metab__HMDB0000156_m,1,TRUE
Gene168800001__SLC25A1,Metab__HMDB0000094_m,1,TRUE
Gene168800002__SLC25A1,Metab__HMDB0000254_c,1,TRUE
Gene172400002__SLC25A1,Metab__HMDB0000094_c,1,TRUE
Gene1758__orphanReacr1384_reverse,Metab__HMDB0000133_c,1,TRUE
Gene1764__orphanReacr1428,Metab__HMDB0001473_x,1,TRUE
Gene1764__orphanReacr1428_reverse,Metab__HMDB0001473_c,1,TRUE
Gene179500001__SLC7A5,Metab__HMDB0000123_c,1,TRUE
Gene179600001__SLC7A5,Metab__HMDB0000123_c,1,TRUE
Gene179700001__SLC7A5,Metab__HMDB0000123_c,1,TRUE
Gene179800001__SLC7A5,Metab__HMDB0000123_c,1,TRUE
Gene179900002__SLC7A5,Metab__HMDB0000123_c,1,TRUE
Gene180000001__SLC7A5,Metab__HMDB0000123_c,1,TRUE
Gene180100001__SLC7A5,Metab__HMDB0000123_c,1,TRUE
Gene180200001__SLC7A5,Metab__HMDB0000123_c,1,TRUE
Gene185900003__SLC7A6,Metab__HMDB0000123_c,1,TRUE
Gene186000002__SLC7A6,Metab__HMDB0000123_c,1,TRUE
Gene186100002__SLC7A6,Metab__HMDB0000123_c,1,TRUE
Gene186200002__SLC7A6,Metab__HMDB0000123_c,1,TRUE
Gene186300002__SLC7A6,Metab__HMDB0000123_c,1,TRUE
Gene186400002__SLC7A6,Metab__HMDB0000123_c,1,TRUE
Gene186500002__SLC7A6,Metab__HMDB0000123_c,1,TRUE
Gene187500002__SLC7A6,Metab__HMDB0000123_e,1,TRUE
Gene188000002__SLC7A6,Metab__HMDB0000123_e,1,TRUE
Gene188500002__SLC7A6,Metab__HMDB0000123_e,1,TRUE
Gene189300002__SLC7A6,Metab__HMDB0000123_e,1,TRUE
Gene190900003__SLC7A6,Metab__HMDB0000123_e,1,TRUE
Gene192300002__SLC7A6,Metab__HMDB0000123_e,1,TRUE
Gene193200003__SLC7A6,Metab__HMDB0000123_e,1,TRUE
Gene194800002__SLC7A6,Metab__HMDB0000123_e,1,TRUE
Gene195400002__SLC7A6,Metab__HMDB0000123_e,1,TRUE
Gene197100002__SLC7A6,Metab__HMDB0000123_c,1,TRUE
Gene197200002__SLC7A6,Metab__HMDB0000123_c,1,TRUE
Gene218400002__SLC37A4,Metab__HMDB0001401_r,1,TRUE
Gene220500001__SLC25A1,Metab__HMDB0000094_c,1,TRUE
Gene220600002__SLC25A1,Metab__HMDB0000254_m,1,TRUE
Gene220700002__SLC25A1,Metab__HMDB0000072_c,1,TRUE
Gene220800002__SLC25A1,Metab__HMDB0000094_m,1,TRUE
Gene220800003__SLC25A1,Metab__HMDB0000254_c,1,TRUE
Gene221400002__SLC25A1,Metab__HMDB0000094_m,1,TRUE
Gene221700002__SLC25A1,Metab__HMDB0000156_c,1,TRUE
Gene239__G6PC3,Metab__HMDB0000051_r,1,TRUE
Gene239__G6PC3,Metab__HMDB0001401_r,1,TRUE
Gene273400001__orphanReacFOLt2,Metab__HMDB0000121_c,1,TRUE
Gene2759__orphanReacLACLt,Metab__HMDB0000190_c,1,TRUE
Gene2953__ABCC1,Metab__HMDB0000121_e,1,TRUE
Gene30800002__orphanReacSLC_complex_3,Metab__HMDB0000123_c,1,TRUE
Gene30800002__orphanReacSLC_complex_5,Metab__HMDB0000123_c,1,TRUE
Gene319__CMPK1,Metab__HMDB0001508_n,1,TRUE
Gene319__CMPK1_reverse,Metab__HMDB0001532_n,1,TRUE
Gene331__CMPK1,Metab__HMDB0001508_n,1,TRUE
Gene331__CMPK1_reverse,Metab__HMDB0001532_n,1,TRUE
Gene338__orphanReacDATPtn,Metab__HMDB0001532_n,1,TRUE
Gene338__orphanReacDATPtn_reverse,Metab__HMDB0001532_c,1,TRUE
Gene3423__orphanReacGLYTYRLYSr,Metab__HMDB0000123_c,1,TRUE
Gene3423__orphanReacGLYTYRLYSr_reverse,Metab__glytyrlys_c,1,TRUE
Gene3424__orphanReacGLYVALHISr,Metab__HMDB0000123_c,1,TRUE
Gene3424__orphanReacGLYVALHISr_reverse,Metab__glyvalhis_c,1,TRUE
Gene3428__orphanReacALAARGGLYr,Metab__HMDB0000123_c,1,TRUE
Gene3428__orphanReacALAARGGLYr_reverse,Metab__alaarggly_c,1,TRUE
Gene364__orphanReacDHFtl,Metab__HMDB0001056_l,1,TRUE
Gene364__orphanReacDHFtl_reverse,Metab__HMDB0001056_c,1,TRUE
Gene3666__DHFR,Metab__HMDB0001846_c,1,TRUE
Gene3666__DHFR_reverse,Metab__HMDB0001056_c,1,TRUE
Gene3680__UGP2,Metab__HMDB0000286_c,1,TRUE
Gene3680__UGP2_reverse,Metab__HMDB0001586_c,1,TRUE
Gene3682__GUK1,Metab__HMDB0001201_c,1,TRUE
Gene3682__GUK1_reverse,Metab__HMDB0001397_c,1,TRUE
Gene3686__PEPD_reverse,Metab__HMDB0000721_c,1,TRUE
Gene3734__PGM1,Metab__HMDB0001401_c,1,TRUE
Gene3734__PGM1_reverse,Metab__HMDB0001586_c,1,TRUE
Gene3734__PGM2,Metab__HMDB0001401_c,1,TRUE
Gene3734__PGM2_reverse,Metab__HMDB0001586_c,1,TRUE
Gene3751__AK1,Metab__HMDB0001508_c,1,TRUE
Gene3751__AK1_reverse,Metab__HMDB0000905_c,1,TRUE
Gene3751__AK2,Metab__HMDB0001508_c,1,TRUE
Gene3751__AK2_reverse,Metab__HMDB0000905_c,1,TRUE
Gene3753__IDH1,Metab__HMDB0003974_c,1,TRUE
Gene3753__IDH2,Metab__HMDB0003974_c,1,TRUE
Gene3777__TALDO1,Metab__HMDB0001321_c,1,TRUE
Gene3777__TALDO1,Metab__HMDB0003971_c,1,TRUE
Gene3777__TALDO1_reverse,Metab__HMDB0001068_c,1,TRUE
Gene3777__TALDO1_reverse,Metab__HMDB0001112_c,1,TRUE
Gene3782__TKT,Metab__HMDB0001068_c,1,TRUE
Gene3782__TKT,Metab__HMDB0001112_c,1,TRUE
Gene3787__orphanReacNH4t,Metab__HMDB0000051_c,1,TRUE
Gene3787__orphanReacNH4t_reverse,Metab__HMDB0000051_e,1,TRUE
Gene3795__TPI1,Metab__HMDB0001112_c,1,TRUE
