nodes,score,RNA_input
CCNA2,1.7461997020073423,-0.5458229142798124
CDC20,-2.1301896024061797,0.2726988984612501
CDC27,-1.2057081835022272,0.8171258038743945
FBXO5,2.0987763664595156,0.0637818347259296
Gene12300001__SLC25A10,-1.2599333360428238,NA
Gene12300001__SLC25A11,-1.2599333360428238,NA
Gene1542__IDH1,-1.3378696292080736,NA
Gene1542__IDH2,-1.3378696292080736,NA
Gene1587__IDH1,-1.2214243262306002,NA
Gene1587__IDH1_reverse,-2.47072971323733,NA
Gene1587__IDH2,-1.2214243262306002,NA
Gene1587__IDH2_reverse,-2.47072971323733,NA
Gene166900001__SLC25A10,-1.3378696292080736,NA
Gene220700001__SLC25A1,-1.3378696292080736,NA
Gene221500002__SLC25A1,-1.2599333360428238,NA
Gene223100001__SLC25A11,-1.2599333360428238,NA
Gene2244__SLC25A10,-1.3378696292080736,NA
Gene2978__orphanReac2OXOADPt_TRANSPORTER2,-1.2599333360428238,NA
Gene2978__orphanReac2OXOADPt_TRANSPORTER3_reverse,-1.2753948141197635,NA
Gene3753__IDH1,-1.099089865858218,NA
Gene3753__IDH2,-1.099089865858218,NA
Gene5580__OGDH_DLD_PDHX_DLST,-1.4682878254760485,NA
Gene616700001__SLC25A1,-1.3378696292080736,NA
Gene618000002__SLC25A1,-1.2599333360428238,NA
Gene618400002__SLC25A1,-1.2599333360428238,NA
Gene7608__IDH1,-1.2599333360428238,NA
Gene9154__IDH3B_IDH3G_IDH3A,-1.3378696292080736,NA
Gene9154__IDH3G_IDH3A_IDH3B,-1.3378696292080736,NA
Gene9154__IDH3G_IDH3B_IDH3A,-1.3378696292080736,NA
Gene9155__IDH2,-1.3378696292080736,NA
Gene9155__IDH2_reverse,-2.47072971323733,NA
Gene930__IDH1,-1.2599333360428238,NA
Gene9730__IDH1,-1.2214243262306002,NA
Gene9730__IDH2,-1.2214243262306002,NA
Gene986100001__SLC25A1,-1.3378696292080736,NA
IDH1,-2.4229382254145007,-0.06228492158125991
IDH2,-2.1728269880448017,-2.257466785948472
Metab__HMDB0000193_m,-2.676573103998278,NA
Metab__HMDB0000208_c,-1.0908756605240106,NA
Metab__HMDB0000208_e,-1.3727929447733058,NA
Metab__HMDB0000208_m,-1.0908756605240106,NA
Metab__HMDB0001022_m,-1.5574104040047794,NA
Metab__HMDB0003974_c,-1.46557435073972,NA
Metab__HMDB0003974_m,-2.111151468902918,NA
SKP2,2.4735970063762287,0.017332959770099413
STAT1,1.222266792568854,0.9661802276702244
