source,target,sign,consistency
ACO1,Gene3825__ACO1,1,TRUE
ACO1,Gene3825__ACO1_reverse,1,TRUE
ACO1,Gene9711__ACO1,1,TRUE
ACO1,Gene9711__ACO1_reverse,1,TRUE
ACO1,Gene9732__ACO1,1,TRUE
ACO1,Gene97__ACO1,1,TRUE
ACO1,Gene97__ACO1_reverse,1,TRUE
ACTB,ARPC2,1,TRUE
AKR1B1,Gene140__AKR1B1,1,TRUE
AKR1B1,Gene141__AKR1B1,1,TRUE
AKR1B1,Gene156__AKR1B1,1,TRUE
AKR1B1,Gene9706__AKR1B1,1,TRUE
ANAPC1,CCNB1,-1,TRUE
ANAPC1,FZR1,1,TRUE
ARPC2,ACTB,1,TRUE
BCL3,HDAC1,1,TRUE
CCNA2,SKP2,1,TRUE
CCNB1,WEE1,1,TRUE
CCND1,CDK6,1,TRUE
CCND1,SUV39H1,1,TRUE
CCND3,CCNE1,1,TRUE
CCND3,CDK6,1,TRUE
CCND3,SUV39H1,1,TRUE
CCNE1,CDKN1A,-1,TRUE
CDK1,ANAPC1,1,TRUE
CDK1,IREB2,-1,TRUE
CDK1,KMT5A,1,TRUE
CDK1,NFAT5,1,TRUE
CDK1,RUNX2,1,TRUE
CDK1,RXRA,1,TRUE
CDK6,CDKN1A,-1,TRUE
CDK6,SUV39H1,1,TRUE
CDKN1A,CCNA2,-1,TRUE
CDKN1A,CCND1,-1,TRUE
CDKN1A,CCND3,-1,TRUE
CDKN1A,CCNE1,-1,TRUE
CDKN1A,CDK1,-1,TRUE
CDKN1A,FEN1,-1,TRUE
DGKZ,Gene334__DGKZ,1,TRUE
DGKZ,Gene5786__DGKZ,1,TRUE
FZR1,ANAPC1,1,TRUE
Gene1002000002__SLC7A6,Metab__HMDB0000123_e,1,TRUE
Gene1002900002__SLC7A6,Metab__HMDB0000123_e,1,TRUE
Gene1002__orphanReacLYStn,Metab__HMDB0000182_n,1,TRUE
Gene1002__orphanReacLYStn_reverse,Metab__HMDB0000182_c,1,TRUE
Gene1004600002__SLC7A6,Metab__HMDB0000123_e,1,TRUE
Gene1006400002__SLC7A6,Metab__HMDB0000123_e,1,TRUE
Gene1006900002__SLC7A6,Metab__HMDB0000123_c,1,TRUE
Gene1007100002__SLC7A6,Metab__HMDB0000123_c,1,TRUE
Gene1007200003__SLC7A6,Metab__HMDB0000182_e,1,TRUE
Gene1007400003__SLC7A6,Metab__HMDB0000182_e,1,TRUE
Gene1008400002__SLC7A6,Metab__HMDB0000182_e,1,TRUE
Gene1008800002__SLC7A6,Metab__HMDB0000182_e,1,TRUE
Gene1009100002__SLC7A6,Metab__HMDB0000182_e,1,TRUE
Gene1009300003__SLC7A6,Metab__HMDB0000182_e,1,TRUE
Gene1010600003__SLC7A6,Metab__HMDB0000182_e,1,TRUE
Gene1010900002__SLC7A6,Metab__HMDB0000182_e,1,TRUE
Gene1015900001__SLC16A1,Metab__HMDB0000208_c,1,TRUE
Gene1016000001__SLC16A1,Metab__HMDB0000208_c,1,TRUE
Gene1016100001__SLC16A1,Metab__HMDB0000208_c,1,TRUE
Gene1016200001__SLC16A1,Metab__HMDB0000208_c,1,TRUE
Gene1037__orphanReacMI1P_Dtn,Metab__mi1p_D_n,1,TRUE
Gene1037__orphanReacMI1P_Dtn_reverse,Metab__mi1p_D_c,1,TRUE
Gene1163__orphanReacPA_HSter,Metab__pa_hs_r,1,TRUE
Gene1163__orphanReacPA_HSter_reverse,Metab__pa_hs_c,1,TRUE
Gene1218__PLCB3,Metab__mi1p_D_c,1,TRUE
Gene1218__PLCD3,Metab__mi1p_D_c,1,TRUE
Gene1218__PLCG1,Metab__mi1p_D_c,1,TRUE
Gene1218__PLCG2,Metab__mi1p_D_c,1,TRUE
Gene12300001__SLC25A10,Metab__HMDB0000208_c,1,TRUE
Gene12300001__SLC25A11,Metab__HMDB0000208_c,1,TRUE
Gene12700002__orphanReacSLC_complex_3,Metab__HMDB0000123_e,1,TRUE
Gene129__ALAS1,Metab__HMDB0001149_m,1,TRUE
