rownames(activity_scores),786-0,A498,A549/ATCC,ACHN,BT-549,CAKI-1,CCRF-CEM,COLO 205,DU-145,EKVX,HCC-2998,HCT-116,HCT-15,HL-60(TB),HOP-62,HOP-92,HS 578T,HT29,IGROV1,K-562,KM12,LOX IMVI,M14,MALME-3M,MCF7,MDA-MB-231/ATCC,MDA-MB-435,MOLT-4,NCI-H226,NCI-H23,NCI-H322M,NCI-H460,NCI-H522,NCI/ADR-RES,OVCAR-3,OVCAR-4,OVCAR-5,OVCAR-8,PC-3,RPMI-8226,RXF-393,SF-268,SF-295,SF-539,SK-MEL-28,SK-MEL-5,SK-OV-3,SN12C,SNB-19,SNB-75,SR,SW-620,T-47D,TK-10,U251,UACC-257,UACC-62,UO-31
EGFR,1.489435892867727,1.471635374302328,-1.3704069771239868,1.4402484329086354,1.484268711525208,1.4064637680817813,NA,-1.522879422482291,-1.363604301406918,1.5029668873978488,-1.4261926511199712,-1.4225020638817556,-1.5798925775825332,NA,1.4268786383801253,1.4214869769475138,1.4497011125895647,-1.5211047349585283,-1.3981751634135746,NA,-1.6433047302053412,1.5004939661922598,1.3722290733709783,NA,NA,1.4466400585451356,NA,NA,1.5450251444112009,-1.4483767880755598,-1.4164689842093066,-1.4368244028291506,NA,-1.5133989066502878,-1.4320708270656612,1.4648210747652266,-1.4948353263081242,-1.5185947117929435,1.4951465327080917,NA,1.42149371077584,1.5527224289719326,1.4114848728652056,1.4514249689678353,NA,NA,1.4103205374834613,1.4087612042765034,1.4658903162752837,1.4761563152735955,NA,NA,-1.450013943004946,1.5727232278107173,1.4561808252777924,NA,1.4304430046353358,1.4993556771207162
HRAS,2.3022338019547437,2.2358989325046177,-2.395119118796864,2.3296024137280242,2.3518005747943564,2.302244672563491,NA,NA,-2.413583404128699,2.3171337300436736,NA,-2.394328168580186,-2.4843895035251733,NA,2.4403708972746125,2.364462058307629,2.2899046389352895,NA,-2.3056520076276907,NA,-2.3320895330145572,2.4441201093610476,2.3040397690346373,2.34232926138484,NA,2.3183843899638967,2.544777300170934,-2.48001493561624,2.1846815345795965,-2.3958859092282854,-2.377756533745143,-2.3453525909944357,NA,-2.3574820006686927,-2.4104402617538643,2.3476085643620626,-2.4919169515892374,-2.351501913708876,2.3358414744123923,-2.5550363108838536,2.318085793430475,2.3410712797038724,2.3087537435729115,2.4341642403855763,2.530897065220779,2.3972682393444824,2.260983946670109,2.230702910419773,2.240216350905671,2.286909931572539,-2.517243753999305,NA,NA,2.4420267962642304,2.466697960424596,2.330371165821293,2.3437105748274134,2.355017564001215
TGFB1,2.242675133469627,2.380576178566515,-2.379031287198322,2.406854296684005,2.317559982642891,2.4575262207650073,-2.549213797544427,NA,-2.317144825724695,2.2778589872210575,-2.325871090672369,-2.3073486929958693,-2.4706454137887417,-2.6664652826610524,2.341899368683337,2.376302936437018,2.3760521664102248,-2.4733265304531904,NA,-2.72659978114262,-2.425530053829991,2.275265302710558,2.3142638967349276,2.431882900676347,-2.610700463077931,NA,2.5401065874574313,-2.5447741566707687,2.349752831647269,-2.462157965060772,-2.2832176927938894,-2.3596724329333516,-2.667635567561428,-2.378823068557347,-2.199947122304087,2.3406767075645454,-2.401709285597925,-2.3755782878134335,2.449681307419128,-2.6452086606193257,2.3369923949398026,2.3385967167159443,2.3722855820802744,2.353211016707653,NA,2.37728399273262,2.3358225390945195,2.308431642167772,2.255701229329833,2.324465734362308,-2.699406581030653,NA,NA,2.4187735741632945,2.3850413494228344,2.511864412623382,2.358259288698852,2.300940489595266
THBS1,1.8332721495893705,1.8544440703232503,-1.8038095831918284,1.845634111350065,1.919807797054725,1.8278512227618091,NA,NA,-1.8824151012560197,1.8558221468418818,-1.9091334390064256,NA,-1.916805514106827,NA,1.8573151165704433,1.9403441082402386,1.9079073990781383,-1.8778945070412458,NA,NA,NA,1.9268384839881307,1.8526179559323204,1.9320030790693064,-1.9269890190042673,2.0283965456922943,1.8980916822335518,NA,1.8745440102844795,-1.8185528497376993,-1.8349259931986261,-1.8117298237662558,NA,-1.872161996895297,-2.0025108056397443,1.8326970518225452,-1.7622250824319559,-1.8186121523902319,1.8975628347944078,NA,1.7858002448810204,1.919608245273308,1.8994504305973579,1.7888438033161604,NA,NA,1.7552123489064602,1.847759199316943,1.866961899888986,1.8942131948094194,NA,NA,-1.901761967880203,1.8300436544372842,1.8076554649528995,NA,1.8577160878750676,1.8300511503359318
VEGFA,2.910981081114766,2.910683869407868,-3.0774101852256943,2.935838430607062,3.023384059061155,2.848129617159406,NA,-3.4646431156765547,-2.8847359099521226,3.019563891514922,-2.9398787484273314,-2.9636566670453117,-2.929478769891535,-3.736666833732091,2.8675514011215957,2.8573857554149966,2.8155539094634086,-3.039729579354335,-2.9067115344848538,-2.878629562648916,-3.129737149948526,2.8174051035090963,2.831559371939926,2.94849750935799,-2.9870191627525298,3.240285439499419,2.9453528357339938,-3.7330842301008484,2.8457220765161804,-2.8456003562227643,-2.9076608490420224,-2.898827048057265,-2.927284374478187,-2.9617348635668264,-3.1859002996923755,2.8808500950772933,-2.79565170463411,-2.858396676315528,2.9179348842426216,-3.0387061837443783,2.7656968843138983,3.1544011011900133,2.861255344095771,2.916613379978718,2.9968185241708354,2.922083983596775,2.824199213355737,2.858889845952565,2.900008497919959,2.8744025831231084,-3.190316696027109,-3.6027731157525538,-2.995665955800445,2.9786108305377548,2.8141687829524167,2.9172712963768976,2.8686199757846285,2.9184473927823227
FOS,12.872542790528767,12.526034875984887,-12.961176040376998,13.20761794349405,12.640958373876407,13.174867122475675,-11.196795490495823,-13.309474322176975,-13.353892613120179,13.722156500675867,-12.583622090689955,-13.40889706118316,-12.905029599551575,-11.620856330778492,13.511135762490367,12.495836514954977,12.796703783823455,-12.71056858050914,-13.468639878631729,-11.455776254104741,-12.815246870450212,13.191416742426116,12.970551294245878,13.047491791779683,-11.935077617082852,12.9285113866381,12.57125892442412,-12.180984715648012,13.633793936591625,-13.139365238861101,-13.111727882526889,-12.68528191427029,-11.878651547004763,-12.77095905997829,-12.663119078650265,13.467664093186343,-12.486128128508605,-13.512205658891254,13.611034708789282,-11.663334030629777,13.169527287320484,13.293999561744656,13.137142338975286,13.474098277247919,12.762921705723441,12.024371362642638,14.061307646480458,13.23094997506848,12.478181556593235,13.24746067499947,-11.098715678591466,-11.816378014065302,-13.022496399582197,12.929704200518678,12.920517953914814,13.18556920033414,12.830575102754269,12.835755405426362
JUN,6.157068286279642,6.079852812709531,-6.1661754352075775,6.114566285385474,6.370461269766296,6.128358650613808,-5.958376648045517,-5.273465884287534,-6.183223375633117,6.386314594721886,-5.810760377934,-6.112977124260475,-5.326881814213341,-6.845631107257446,6.237414651322878,6.32475656586396,6.267365736688732,-5.8443427738899825,-5.563505770903157,-5.564099537975986,-5.617504680349543,5.978998025127416,6.102504362510989,5.986184963859635,-5.9718871242067895,5.8895585641375785,5.445737264798875,-5.506636533279302,6.3244127761737445,-6.603784588819258,-5.855980444370232,-6.124850266748662,-5.157904619051974,-6.094177473814963,-6.634242040061789,6.341672000329221,-6.064533718242516,-6.211317778774278,5.92522256012726,-5.905999202021044,6.035721541101319,6.110245511112554,6.035176863650361,6.133910127126154,6.167514414558005,5.554322877205914,6.494474886108506,6.4208312076975185,6.09650572988956,6.479613473332144,-5.371378869966029,-5.357165552890924,-5.482319608916209,6.008842019407609,6.396589656716433,6.127844933206523,6.075232018176502,6.059828037312667
MYC,-5.455202533846007,-5.530987648986599,5.392226224470906,-5.3781014181769295,-5.551633224889725,-5.372045208909768,5.906739792782328,4.358946335462308,5.179328355301227,-5.397440322200292,4.8305558847799555,5.258004466892545,4.925670300880043,4.634590987734828,-5.304922403182984,-5.43101835236134,-5.616502146533714,4.738713850432537,5.1471152573232954,5.196106967101519,4.767391819270084,-5.318871550663316,-5.08387863756755,-5.317839089213924,5.385956636555487,-5.6169444180943575,-5.611213815435735,6.213279566242141,-5.6031960816207445,5.2318892698824735,5.1668283455881765,5.488303343866075,4.988671047182274,5.260171920759015,5.358450382817701,-5.032617903842138,5.096347694599095,4.983200820101448,-5.366297470379702,5.008294881021733,-5.64582990692383,-5.764976774958318,-5.4054046289861,-5.65571257355703,-5.312205565898167,-5.457150619690117,-5.357316225476995,-5.363975439723754,-5.5371094502310125,-5.811524421584434,4.617560012867564,4.830037921426057,4.989870085056473,-5.386613118509132,-5.6456525382763925,-5.294507279646922,-5.34968895454699,-5.505739153568469
NFKB1,6.116569612834402,6.187309128718987,-6.25592013107774,6.177215388774045,6.495974408342201,6.320080588810398,-4.895729049811439,-6.896543189755759,-6.219388610358399,6.457156219342747,-6.61798796556886,-6.758022217601126,-6.279856189183362,-6.954871388888034,6.3822955361885585,6.040812586943269,6.223661007908091,-6.574170255459722,-6.149889384983334,-6.238169160224651,-7.263727812015108,6.3028453535740665,6.754755885688433,6.1811022182091895,-6.722707166931109,5.8054919334317185,6.297490600468187,-6.148532726176834,6.2213047677821445,-6.758082373211258,-5.86184772732019,-6.352813709543958,-6.0763452241689215,-6.521498746337838,-6.411084369669195,6.1071297087677365,-6.118758568342107,-6.5929561688067935,6.279586637814187,-6.2114673141467955,6.198900858954533,6.396171683085557,5.932050686487256,6.183312758889374,6.413013645145432,5.699739728377137,6.389158383792353,6.562774582007866,6.281284286700823,6.318360893896045,-5.662069388505875,-5.638469375053343,-5.540423742981742,6.4553111210037795,6.572238394345898,5.784439899342394,6.546706938421838,6.120067116645136
STAT3,8.040126906391638,7.462284575001404,-7.817021612842604,7.911364153829686,7.931268782710591,7.583704629346689,-5.812436252000466,-7.9710400376345225,-7.793098794629124,8.028155183261692,-8.161442093690965,-7.897206019984737,-8.2335477640079,-7.4057375793032065,7.745305063273318,7.775285304491579,8.073523945392097,-8.24969456893817,-8.222697299399577,-7.045038417821429,-8.39985219151338,7.949308192919317,8.025259659932614,7.579555800144497,-7.996755037547039,7.6263449422365985,7.887789564897781,-7.237639253690724,7.8053769317799455,-7.88199409092346,-7.929000353287964,-7.804068119829514,-7.341546258175076,-7.965940204378331,-7.8812541426749,7.796595375467205,-7.771017328158504,-7.350844946016495,7.958844150517154,-7.589884960738349,7.704947175027007,7.879220913874208,7.968326342332182,7.7240932741242645,8.278012988253726,7.605396907105383,8.131089397909223,8.138779599030544,7.889917542593006,7.960565410616021,-7.608961218230338,-7.175922243082689,-8.133641690151737,7.660969826397555,7.731257627926265,8.182104782868915,8.035271411087615,7.831259567735122
