rownames(all_activity_scores),786-0,A498,A549/ATCC,ACHN,BT-549,CAKI-1,CCRF-CEM,COLO 205,DU-145,EKVX,HCC-2998,HCT-116,HCT-15,HL-60(TB),HOP-62,HOP-92,HS 578T,HT29,IGROV1,K-562,KM12,LOX IMVI,M14,MALME-3M,MCF7,MDA-MB-231/ATCC,MDA-MB-435,MOLT-4,NCI-H226,NCI-H23,NCI-H322M,NCI-H460,NCI-H522,NCI/ADR-RES,OVCAR-3,OVCAR-4,OVCAR-5,OVCAR-8,PC-3,RPMI-8226,RXF-393,SF-268,SF-295,SF-539,SK-MEL-28,SK-MEL-5,SK-OV-3,SN12C,SNB-19,SNB-75,SR,SW-620,T-47D,TK-10,U251,UACC-257,UACC-62,UO-31
ACTR2,0.5828383244954463,0.5094499982054965,-1.0881608750583984,0.48919644393508604,0.5377330383367037,0.535118044061114,-0.6584386533140697,-1.2480199568933463,-0.5679876394543706,0.5374654741140599,-0.623725571263199,-0.5421461103812291,-0.5551429597286706,-1.3360550199584573,0.5107350113009553,0.549668647887224,0.5229942457980232,-1.1779704021528825,-0.5843280399895673,-0.6316039908689518,-0.6065312118392747,0.556594280745396,0.5219252362292741,0.5693561755780427,-0.6607394064326233,1.0793034066849287,0.5329951191064921,-0.6484621065667949,0.505194788520767,-0.4926008219773247,-1.088614174635206,-0.5518611158567271,-0.609357588000512,-0.522348035454816,-0.49485851860795366,0.5477228767680615,-0.5752822952479809,-0.5432504789259998,0.572136133513032,-0.588787106190538,1.1280873525220716,0.5011953882445149,0.5378479631731793,0.5454482955653458,0.546560569557753,0.5044919232750901,0.5987826921102691,0.5391177660256771,0.5116968065237946,0.5162271920214715,-0.6535009794430033,-1.2702383982827916,-0.6132654770001715,0.4757236754328673,0.5303691195654532,0.5369434190188024,0.5824614034755399,0.5581793141286437
ACVR1,2.387485208598024,2.458526841467437,-2.531920006080536,2.627787018040585,2.3735714134308585,2.653196383404243,-2.7578347632791584,NA,-2.4016488184831326,2.4437962674683797,-2.411893095213786,-2.4476966062878973,-2.6159731661240184,NA,2.441472441963959,2.410777626550445,2.5289010422213845,-2.677014468252818,NA,NA,-2.4684934206940543,2.3985209318148244,2.507774104854634,2.4576445515976255,-2.5618279491150986,NA,2.5774315645566146,NA,2.6370913452507314,-2.5120014270807736,-2.416217390363662,-2.5306613635245334,-2.704839136254446,-2.4214395146735415,NA,2.5097159490095615,-2.6653077853906213,-2.4619442811770016,2.59994163476493,NA,2.592304387299112,2.4921989508050872,2.4967224782834956,2.527915382994118,NA,2.3925662896368207,2.531547042004715,2.4246805119095556,2.390487656136523,2.4231453182274847,NA,NA,NA,2.5158889612503192,2.6329566982198904,2.591461194871266,2.4802295290474325,2.3883619113930843
ADGRE5,1.176771696112359,1.1381670236929868,-1.162910924430555,1.2022325250573764,1.2539746005990136,1.0774610555224438,NA,NA,-1.1517255505590713,1.1807708043226557,-1.1839437924990484,-1.1321554280609707,-1.141989754813852,-1.2575107206902518,1.179581062730109,1.2335589392238162,1.0993412989659423,-1.2624546348842718,-1.1782768148072666,-1.229810748807577,-1.2544006113735076,1.2376359742118908,1.1871720902376655,1.1290357598671872,-1.2344301126740618,1.1640513817689333,1.1890460775693281,NA,NA,-1.1461520348303063,-1.1379418669179098,-1.1485183686513865,NA,-1.1606941007140774,-1.150147314358726,1.2034312770505347,-1.2495157659370273,-1.0646087423871577,1.2280675630858457,-1.3423373074144551,1.1270363071041887,1.1903444487943042,1.1302990579000933,1.1433693844532056,1.3274081699978024,1.1930892101136177,1.0762342237838696,1.1014684151488054,1.1526753526547175,1.047381496536032,-1.2193756982246482,NA,-1.116091244709682,1.2038360825473107,1.1788312346082421,1.0997037885561138,1.1400222932927035,1.238535028608535
AMFR,0.34292210414307295,0.32706611511194017,-0.38983641879579173,0.3791001125911937,0.44191212715509604,0.3603972870010086,-0.4217260003967608,-0.4812037790497987,-0.3376649574726882,0.3861516483285642,-0.4319168403486672,-0.3969738632132423,-0.44761732752509525,-0.5683485042033145,0.37153347622144456,0.3066154631002587,0.3635547093085605,-0.4092662026701043,-0.38596297038409544,-0.4970486731460327,-0.42378688060520087,0.3875431206433546,0.4147806759944011,0.35291431204057455,-0.4219213134145873,0.37018340930785665,0.3692334031019398,-0.501704230175804,0.4487301233548089,-0.3770137674226244,-0.40508541089163097,-0.3854540918274642,-0.43021388316135384,-0.36776015774561266,-0.39670730393430986,0.3595054295421827,-0.4406223687525071,-0.3562130855428689,0.41414801082112856,-0.5580820256483334,0.4247658017249286,0.3810902147956617,0.395561697105789,0.3763037490408065,0.34995573264863383,0.4140225119855925,0.35862591430156654,0.36377782287121296,0.409427038643294,0.3556064486033823,-0.5318007942520357,NA,-0.3579709848389757,0.44882095517947374,0.4410335959089325,0.4474947488255587,0.40964742226387674,0.3436064554008358
ANTXR1,1.4532595611588663,1.3535942906438414,NA,1.3341295714427104,1.3755495818235957,1.458006066007148,-1.4665813299360435,NA,-1.3545217970304604,1.3508393344596903,NA,-1.4363871507422594,NA,NA,1.3455721804958045,1.338153961103837,1.3270922429213285,NA,-1.3633101266147223,NA,NA,1.3650850816756595,1.3836568415961485,1.3635701692606572,-1.4774215154942276,NA,1.3794360820037148,-1.5288747321169776,1.3146014064153055,-1.3373934355879347,NA,-1.4237137970165619,-1.490954939087122,-1.3452701597718801,-1.2857464375238417,1.412127445201142,NA,-1.4279269979075189,1.3844535039376527,NA,NA,1.3518186837806219,1.4109600222215615,1.3753939710534842,1.4393273677576413,1.4050558769908108,1.3423717435774656,1.2769005810887881,1.318886546203352,1.4019463713213507,NA,NA,-1.563887977441052,1.312973925297993,1.388312316212297,1.4162088597419085,1.3911869816108164,1.3720498157915144
APLP2,1.9631172604488363,1.8513722006573357,-1.9760186623004898,1.9351123714982585,1.8945698137525135,1.8834759331928694,-2.09385860144509,-2.0604033532246904,-1.8674890496588525,2.074105789975267,-2.0580489767277665,-1.9222663437431935,-2.0689653757116178,-2.182976510154035,1.9970659361954084,2.0030750954329695,1.9035942542315465,-2.072227246483224,-1.9784727744088548,NA,-2.1447580966824087,1.8789102958568833,1.9561851099396286,1.9190957048380495,-1.9975054099219336,1.9016809505815448,1.9867182444242206,-2.047502668946122,1.9108525294496475,-1.9801336669900356,-1.9431420615418138,-1.953008952187671,-2.048475768069132,-1.9487205637911917,-2.026708675302807,2.0306687871453635,-2.011886895468816,-1.8538855899950575,1.990493085934038,-2.0486917924781594,1.990482809750672,1.8719127033624519,1.881782623687484,1.9562001364310535,1.9116403758397433,1.9974513487189427,1.9035437631747416,2.0154986306550864,1.9662625594761085,1.9992279806651498,-2.148508990443183,-2.144744978225517,-2.018062908592183,1.8981112408338756,1.8322157161379922,1.9943405364885358,1.957623083156209,1.9076054481293474
AXL,1.1769214143935476,1.105574775563092,-1.439822652569843,1.1766909093755205,1.1860986715199333,1.1833265165131217,NA,NA,-1.2413076255601507,1.1575739882327003,NA,-1.1539851928018439,NA,NA,1.1612949023448107,1.1474425848195806,1.145179443713599,-1.2608050723270745,NA,NA,NA,1.2486813291414693,NA,1.3432525480906674,NA,1.1923327098515744,NA,-1.5159549264103256,1.1635649378866582,-1.1477279457238954,-1.346592220935347,-1.2374719965711498,-1.3388655982661044,-1.1753107580567748,-1.3130738659638286,1.1244922680051377,-1.2038260513433812,-1.2600926970219533,1.223196451235809,NA,1.13050603214954,1.1308728340746588,1.1293823061441826,1.1785077330273022,NA,NA,1.114750666323359,1.1611098568954015,1.1845417956813131,1.0992593004048525,NA,-1.401856582371901,NA,1.1862403397603294,1.2611342306442923,NA,NA,1.1751906341075098
BCAM,-1.0200600940672733,-1.014886764299861,1.0288712986459476,-1.0828172870383972,-1.015531447178755,-0.9856235747691338,NA,NA,0.9744575278218212,-1.015994093386998,1.0073381347059975,0.981384560821427,1.060737553714051,NA,-1.0347967558123912,-0.9923430647885613,-1.1626987674359162,0.9769387198861111,1.0038207875027763,NA,NA,NA,NA,-1.0067214860715104,1.0068169267854243,NA,NA,NA,-1.0510815290639215,0.9817025999306981,NA,0.9610501980613022,0.9316968304571134,0.9666659893593917,1.0361523773254055,-1.0215484766621015,1.006786625155481,1.0105013522005426,-1.0153651689950987,NA,-1.0254902698979218,NA,-1.0574640174013006,-1.1175675106472465,NA,NA,-1.074578537636351,-1.0536546148495085,-1.0411308226303972,-1.0076107091986277,NA,NA,0.9558521255475343,-1.040684490076736,-1.0823870561463194,NA,-0.9818414659262256,-1.0132657314760323
BMPR2,2.0588265702953326,2.033126789568078,-2.834208154554372,1.9785785526742397,1.9846844302142392,1.9914112130880017,NA,NA,-2.010890235255548,1.9488840309074087,-2.075714336968068,-2.0979987937482028,-2.0638118569858834,NA,2.0168099260989893,2.0825378380315613,1.9537813358711953,-2.531912810749797,-2.0578389136743866,NA,NA,2.069224567787799,2.1418977111732476,2.2735104168375257,-2.163872713527102,1.8019894642668985,2.032044891433273,NA,2.0065232683546323,-2.0881819687138257,-2.3324422763234702,NA,-2.0625421218576676,-2.0426001724102276,-2.0115912416772246,2.0734745379682438,-1.9969453223971123,-2.0922994923132445,2.108096511868124,NA,2.412992252638005,2.049614327435255,1.9703807804645181,1.9560449273237508,2.0713286497641525,2.0174975023960644,2.1757664114498403,2.0434224427665506,2.0632901970164563,1.9447681580141336,NA,-1.9602439624144765,-2.131954706185487,2.218385919698155,2.1290840538116407,2.020804930301154,2.055939588066011,2.0019789881460026
CANX,1.3020876783945086,1.2967738973695886,NA,1.3501914218472866,1.3339723604059124,1.2420597536500702,-1.488066964036298,-1.4458132067317797,-1.2569087867770516,1.2685376160794968,-1.415519294851477,-1.379941555572902,-1.4020873662278077,-1.4585941003698062,1.3645118734078707,1.2329248269619024,1.2241532653799392,-1.341326212471483,-1.2835236296258143,NA,-1.3233288350980985,1.328204837397071,1.3596548361038168,1.3883631731659012,NA,1.3514198451403094,1.3402886292935852,-1.3527549659991012,1.2780213506858509,-1.373117600293325,-1.3063259732728731,-1.3277240755656294,-1.334488252218791,-1.3506004710321224,-1.3489007661328418,1.326900252538531,-1.3695055227033393,-1.2837222449824437,1.2389159348997316,-1.432102080930974,1.3512375541263697,1.2637065996618173,1.2507887173852226,1.2643872766451356,1.2199735837644412,1.359686440291286,1.2230355719260044,1.3104214058525308,1.3129481389329174,1.330430610381768,-1.4616512086613325,NA,-1.4667144263375493,1.2680300338305048,NA,NA,1.3289210878225335,1.2447817896292073
