Nodes,NodeType,ZeroAct,UpAct,DownAct,AvgAct,measured,Activity,sign_activity,mofa_weights
KLF4,1,0,1,0,1,1,1,1,3.6869015848492848
Metab__HMDB0000042_c,0,0,1,0,1,0,1,1,NA
