Nodes,NodeType,ZeroAct,UpAct,DownAct,AvgAct,measured,Activity,sign_activity,mofa_weights
ANO9,1,0,1,0,1,1,1,1,NA
CAV1,3,0,1,0,1,0.5,1,1,2.5482454200585973
CCNA2,1,0,0,1,-1,1,-1,-1,NA
CCNE1,1,0,0,1,-1,1,-1,-1,NA
CDK2,1,0,0,1,-1,1,-1,-1,NA
CTNNB1,0,0,0,1,-1,0,-1,-1,NA
EGFR,3,0,1,0,1,1,1,1,1.4011488560276288
EPHB2,3,0,1,0,1,1,1,1,NA
HRAS,2,0,1,0,1,1,1,1,2.288820271814524
ITGAV,3,0,1,0,1,1,1,1,2.638047148742996
ITGB1,3,0,1,0,1,1,1,1,3.605959078391144
KITLG,1,0,1,0,1,1,1,1,NA
MAP2K1,1,0,1,0,1,1,1,1,NA
MYC,1,0,0,1,-1,1,-1,-1,-5.155864131816764
PCNA,1,0,0,1,-1,1,-1,-1,NA
PIK3R1,1,0,1,0,1,1,1,1,NA
PRKACA,1,0,1,0,1,1,1,1,NA
PRKDC,1,0,1,0,1,1,1,1,NA
PTK2,1,0,1,0,1,1,1,1,NA
PTK2B,1,0,1,0,1,1,1,1,NA
PTPN1,1,0,1,0,1,1,1,1,NA
RB1,1,0,1,0,1,1,1,1,NA
SRC,1,0,1,0,1,1,1,1,NA
STAT1,1,0,1,0,1,1,1,1,10.813445240222029
STAT3,1,0,1,0,1,1,1,1,7.911350863970297
STAT5B,1,0,1,0,1,1,1,1,5.025612229591523
TFDP1,1,0,0,1,-1,1,-1,-1,-1.664344874768788
TGFB1,2,0,1,0,1,1,1,1,2.307016516662077
THBS1,2,0,1,0,1,1,1,1,1.8528892236533885
TNK2,1,0,1,0,1,1,1,1,NA
VEGFA,2,0,1,0,1,1,1,1,2.8433902980560695
