source,interaction,target,sign
ABL1,1,BCAR1,1
ABL1,1,CAV1,1
ABL1,1,CTNNB1,-1
ABL1,1,CTNND1,1
ABL1,1,EGFR,1
ABL1,1,EPHB2,1
ABL1,1,JUN,1
ABL1,1,MAP3K1,1
ABL1,1,MET,1
ABL1,1,PRKCD,1
ABL1,1,STAT1,1
ADAM10,1,APP,1
ADAM17,0.5,APP,1
ADAM17,0.5,HBEGF,1
AKT1,1,CHEK1,-1
AKT1,1,CLK2,1
AKT1,1,EP300,1
AKT1,1,FOS,1
AKT1,1,GSK3B,1
AKT1,1,ITGB1,1
AKT1,1,JUN,1
AKT1,1,MAP3K11,-1
AKT1,1,MYC,-1
AKT1,1,NFATC3,1
AKT1,1,NRIP1,1
AKT1,1,NUAK1,1
AKT1,1,PAK1,1
AKT1,1,PRKACA,1
AKT1,1,PRKCD,1
AKT1,1,SKP2,1
AKT1,1,SMAD3,1
AKT1,1,SRPK2,1
AKT1,1,THRA,1
AKT1,1,WNK1,1
ATF1,1,JUN,1
BCAR1,1,MAPK8,1
BCAR1,1,PIK3R1,1
CAV1,1,PPP2CA,-1
CCNA2,1,RB1,-1
CCNA2,1,TFDP1,1
CCNE1,1,RB1,-1
CCNE1,1,TFDP1,1
CDK1,1,CHEK1,1
CDK1,1,EGFR,-1
CDK1,1,MAP2K1,-1
CDK1,1,RB1,-1
CDK2,1,CCNA2,1
CDK2,1,CHEK1,1
CDK2,1,MYC,1
CDK2,1,PAK1,-1
CDK2,1,RB1,-1
CDK2,1,RUNX1,-1
CDK2,1,SMAD3,-1
CDK2,1,SMAD4,-1
CDK2,1,TFDP1,1
CHEK1,1,NFKB1,-1
CHEK1,1,SYK,-1
CHEK1,0.2,WEE1,1
CHUK,1,CREBBP,1
CHUK,0.2,IKBKB,1
CHUK,1,MYC,1
CHUK,1,NFKB1,-1
CHUK,1,RELB,-1
CLK2,1,PRKACA,1
CLK2,1,PTPN1,1
CREB5,1,CREBBP,-1
CREB5,1,JUN,1
CREBBP,1,CTNNB1,1
CREBBP,1,MYB,1
CREBBP,1,NCOA2,1
CREBBP,1,SMAD4,-1
CSNK2B,1,RELA,1
CSNK2B,1,TP53,1
CSNK2B,0.2,WEE1,-1
CTCF,1,APP,1
CTCF,1,MYC,-1
CTCF,1,NFE2L2,1
CTNNB1,1,ID2,1
CTNNB1,1,MYC,1
CTNNB1,1,NOTCH1,1
CTNND1,1,RAC1,1
EGFR,1,CAV1,1
EGFR,1,CTNNB1,-1
EGFR,1,HRAS,1
EGFR,1,KITLG,1
EGFR,1,MAP2K1,1
EGFR,1,PIK3R1,1
EGFR,1,PRKDC,1
EGFR,1,PTK2,1
EGFR,1,PTPN1,1
EGFR,1,STAT1,1
EGFR,1,STAT3,1
EGFR,1,STAT5B,1
EGFR,1,TNK2,1
EIF2AK2,1,CDK1,-1
EIF2AK2,1,PRKCD,1
EIF2AK2,1,STAT1,1
EIF2AK2,1,TP53,1
EIF4E,1,SMAD3,1
EIF4E,1,SMAD4,1
ELAVL1,1,ADAM10,1
ELAVL1,1,EIF4E,1
ELAVL1,1,FOS,1
