source,interaction,target,sign
CHUK,1,CREBBP,1
CHUK,0.2,IKBKB,1
CHUK,1,MYC,1
CHUK,1,NFKB1,-1
CHUK,1,RELB,-1
CREBBP,1,CTNNB1,1
CREBBP,1,MYB,1
CREBBP,1,NCOA2,1
CREBBP,1,SMAD4,-1
CTNNB1,1,MYC,1
CTNNB1,1,NOTCH1,1
EGFR,1,CTNNB1,-1
IKBKB,0.2,IKBKG,-1
IKBKB,0.2,IRF3,1
IKBKB,0.2,NFE2L2,-1
IKBKB,0.2,NFKB1,-1
IKBKG,1,NFKB1,1
JUN,1,EGFR,1
JUN,1,MYC,-1
MYB,1,MYC,1
MYC,1,CCNA2,1
MYC,1,CCNE1,1
MYC,1,PCNA,1
MYC,1,THBS1,-1
NFKB1,1,EGFR,1
NFKB1,1,JUN,1
NFKB1,1,VEGFA,1
NOTCH1,1,CHUK,1
NOTCH1,1,PAX8,1
NOTCH1,1,ZMIZ1,1
SMAD4,1,JUN,1
SMAD4,1,MYC,-1
THBS1,1,EGFR,1
VEGFA,1,EGFR,1
ZMIZ1,1,MYC,1
ZMIZ1,1,NOTCH1,1
VEGFA,1,EGFR,1
YBX1,1,NOTCH1,1
