Nodes,NodeType,ZeroAct,UpAct,DownAct,AvgAct,measured,Activity,sign_activity,mofa_weights
ACVR1,3,0,1,0,1,1,1,1,2.398459516764173
AKT3,5,0,1,0,1,1,1,1,3.5579348045044386
BMPR2,5,0,1,0,1,1,1,1,2.0000310648062114
ETS1,4,0,1,0,1,1,1,1,8.358150846373533
MAP3K7,5,0,1,0,1,1,1,1,1.8573940453996105
PIK3R1,5,0,1,0,1,1,1,1,3.219656852851615
SMAD3,3,0,1,0,1,1,1,1,6.250711166096205
SMAD3,3,0,1,0,1,1,1,1,2.443357233087656
SMAD4,4,0,1,0,1,1,1,1,4.519349452893868
TGFBR2,3,0,1,0,1,1,1,1,1.5851099816558878
TRAF6,5,0,1,0,1,1,1,1,1.647463100241479
