source,interaction,target,sign
ABL1,1,BCAR1,1
ABL1,1,CAV1,1
ABL1,1,CDK5,1
ABL1,1,CTNNB1,-1
ABL1,1,CTNND1,1
ABL1,1,EGFR,1
ABL1,1,EPHB2,1
ABL1,1,HDAC2,1
ABL1,1,JUN,1
ABL1,1,MAP3K1,1
ABL1,1,MET,1
ABL1,1,MTOR,1
ABL1,1,PRKCD,1
ABL1,1,STAT1,1
ABL1,1,YAP1,1
AKT1,1,CHEK1,-1
AKT1,1,FOS,1
AKT1,1,GSK3B,1
AKT1,1,ITGB1,1
AKT1,1,JUN,1
AKT1,1,MYC,-1
AKT1,1,NFATC3,1
AKT1,1,PAK1,1
AKT1,1,PRKACA,1
AKT1,1,PRKCD,1
AKT1,1,SKP2,1
AKT1,1,SMAD3,1
ATF1,1,JUN,1
AXIN1,1,CTNNB1,1
AXIN1,1,MYC,1
AXIN1,1,PIAS1,-1
BCAR1,1,MAPK8,1
BCAR1,1,PIK3R1,1
CCNA2,1,RB1,-1
CCNA2,1,TFDP1,1
CCNE1,1,RB1,-1
CCNE1,1,TFDP1,1
CDK2,1,AXIN1,1
CDK2,1,CCNA2,1
CDK2,1,CHEK1,1
CDK2,1,MYC,1
CDK2,1,PAK1,-1
CDK2,1,RB1,-1
CDK2,1,RUNX1,-1
CDK2,1,SMAD3,-1
CDK2,1,SMAD4,-1
CDK2,1,TFDP1,1
CDK5,1,APP,1
CDK5,1,GSK3B,1
CDK5,1,PTK2,1
CDK5,1,SMAD4,1
CDK5,1,SRC,1
CDK5,1,SRF,1
CDK5,1,STAT3,1
CDK5,1,TP53,1
CHEK1,1,E2F3,1
CHEK1,1,NFKB1,-1
CHEK1,1,SYK,-1
CHEK1,0.2,WEE1,1
CREBBP,1,CTNNB1,1
CREBBP,1,SMAD4,-1
CTCF,1,APP,1
CTCF,1,MYC,-1
CTCF,1,NFE2L2,1
CTNNB1,1,ID2,1
CTNNB1,1,MYC,1
CTNNB1,1,NOTCH1,1
E2F2,1,MYC,1
E2F2,1,PCNA,1
E2F3,1,CCNA2,1
E2F3,1,MYC,1
EGFR,1,CAV1,1
EGFR,1,CTNNB1,-1
EGFR,1,MAP2K1,1
EGFR,1,PIK3R1,1
EGFR,1,PTK2,1
EGFR,1,STAT1,1
EGFR,1,STAT3,1
EIF2AK2,1,PRKCD,1
EIF2AK2,1,STAT1,1
EIF2AK2,1,TP53,1
EPAS1,1,VEGFA,1
EPHB2,1,PIK3R1,1
EPHB2,1,SRC,1
EPHB2,1,STAT1,1
FOS,1,JUN,1
FOS,1,MYC,-1
FOS,1,VEGFA,1
FOSL2,1,FOSL1,1
FYN,1,ABL1,1
FYN,1,BCAR1,1
FYN,1,CAV1,1
FYN,1,CDK5,1
FYN,1,CTNNB1,-1
FYN,1,CTNND1,1
FYN,1,EGFR,1
FYN,1,EPHB2,1
FYN,1,ITGB1,1
FYN,1,MAPK14,1
FYN,1,PIK3R1,1
FYN,1,PRKCA,1
FYN,1,PRKCD,1
FYN,1,PTK2,1
GSK3B,1,CCNE1,-1
GSK3B,1,CTNNB1,-1
GSK3B,1,EIF2AK2,1
