source,interaction,target,sign
ACVR1,1,ETS1,1
AKT1,1,FOS,1
AKT1,1,JUN,1
AKT1,1,MYC,-1
AKT1,1,PRKACA,1
AKT1,1,PRKCD,1
AKT1,1,SMAD3,1
AKT3,1,FOS,1
AKT3,1,JUN,1
AKT3,1,PRKACA,1
CTCF,1,MYC,-1
ETS1,1,TGFBR2,1
FOS,1,JUN,1
FOS,1,MYC,-1
FOS,1,VEGFA,1
IKBKG,1,NFKB1,1
JUN,1,MYC,-1
MAP2K4,1,MAPK14,1
MAP2K4,1,MAPK8,1
MAP2K4,1,PRKCD,1
MAP3K14,1,IKBKG,1
MAP3K14,1,STAT3,1
MAP3K7,1,IKBKG,1
MAP3K7,1,MAP2K4,1
MAP3K7,1,MAP3K14,1
MAP3K7,1,MAPK14,1
MAP3K7,1,MAPK8,1
MAP3K7,1,NFKB1,1
MAP3K7,1,PRKCD,1
MAPK14,1,ETS1,1
MAPK14,1,FOS,1
MAPK14,1,JUN,1
MAPK14,1,SMAD3,1
MAPK14,1,STAT3,1
MAPK8,1,AKT1,1
MAPK8,1,FOS,1
MAPK8,1,JUN,1
MAPK8,1,MAPK14,1
MAPK8,1,SMAD3,1
MAPK8,1,SMAD4,1
MAPK8,1,STAT3,1
MYB,1,MYC,1
NFKB1,1,JUN,1
NFKB1,1,VEGFA,1
PIK3R1,1,AKT1,1
PIK3R1,1,MAPK8,1
PIK3R1,1,PRKCZ,1
PIK3R1,1,RAC1,1
PIK3R1,1,STAT3,1
PRKACA,1,FOS,1
PRKACA,1,NFKB1,1
PRKCD,1,MAPK8,1
PRKCD,1,STAT3,1
PRKCZ,1,AKT3,1
PRKCZ,1,MAPK8,1
PRKCZ,1,NFKB1,1
RAC1,1,AKT1,1
RAC1,1,MAP2K4,1
RAC1,1,MAPK8,1
RAC1,1,PIK3R1,1
RAC1,1,PRKCD,1
RAC1,1,STAT3,1
SMAD3,1,JUN,1
SMAD3,1,MYC,-1
SMAD3,1,VEGFA,1
SMAD4,1,CTCF,1
SMAD4,1,JUN,1
SMAD4,1,MYC,-1
STAT3,1,VEGFA,1
TGFBR2,1,AKT3,1
TGFBR2,1,MAP3K7,1
TGFBR2,1,PIK3R1,1
TGFBR2,1,SMAD3,1
TGFBR2,1,SMAD4,1
TGFBR2,1,TRAF6,1
TRAF6,1,AKT1,1
TRAF6,1,AKT3,1
TRAF6,1,MAP3K14,1
TRAF6,1,MAP3K7,1
TRAF6,1,MAPK14,1
TRAF6,1,MAPK8,1
TRAF6,1,MYB,-1
