Nodes,NodeType,ZeroAct,UpAct,DownAct,AvgAct,measured,Activity,sign_activity,mofa_weights
CCNA2,1,0,0,1,-1,1,-1,-1,NA
CCNE1,1,0,0,1,-1,1,-1,-1,NA
CHUK,1,0,0,1,-1,1,-1,-1,NA
CREBBP,0,0,0,1,-1,0,-1,-1,NA
CTNNB1,0,0,0,1,-1,0,-1,-1,NA
EGFR,3,0,1,0,1,1,1,1,1.4011488560276288
IKBKB,0,0.8,0,0.2,-0.2,0,-0.2,-1,NA
IKBKG,1,0,1,0,1,1,1,1,NA
IRF3,1,0,0,1,-1,1,-1,-1,-2.188369488610287
JUN,1,0,1,0,1,1,1,1,6.289921481510688
MYB,1,0,0,1,-1,1,-1,-1,-0.9380213849063682
MYC,1,0,0,1,-1,1,-1,-1,-5.155864131816764
NCOA2,1,0,0,1,-1,1,-1,-1,-1.08618717657381
NFE2L2,1,0,1,0,1,1,1,1,3.8558189630713806
NFKB1,1,0,1,0,1,1,1,1,6.341658130739368
NOTCH1,3,0,0,1,-1,1,-1,-1,-0.705752569760374
PAX8,1,0,0,1,-1,1,-1,-1,NA
PCNA,1,0,0,1,-1,1,-1,-1,NA
RELB,1,0,1,0,1,1,1,1,6.200429531628194
SMAD4,1,0,1,0,1,1,1,1,4.519349452893868
THBS1,2,0,1,0,1,1,1,1,1.8528892236533885
VEGFA,2,0,1,0,1,1,1,1,2.8433902980560695
YBX1,2,0,0,1,-1,1,-1,-1,-1.020054552648916
ZMIZ1,1,0,0,1,-1,1,-1,-1,NA
