Nodes,NodeType,ZeroAct,UpAct,DownAct,AvgAct,measured,Activity,sign_activity,mofa_weights
APP,2,0,1,0,1,1,1,1,2.2538359851577954
CCNA2,1,0,0,1,-1,1,-1,-1,-1.1750898811245374
CCNE1,1,0,0,1,-1,1,-1,-1,-2.1280160535264003
CTCF,1,0,1,0,1,1,1,1,6.348663067645258
EGFR,3,0,1,0,1,1,1,1,1.4011488560276288
FOSL1,1,0,1,0,1,1,1,1,5.904096979570688
FOSL2,1,0,1,0,1,1,1,1,8.528610779063825
JUN,1,0,1,0,1,1,1,1,6.289921481510688
MYC,1,0,0,1,-1,1,-1,-1,-5.155864131816764
NFE2L2,1,0,1,0,1,1,1,1,3.8558189630713806
NLK,0,0,0,1,-1,0,-1,-1,0.7865442302918828
NR3C1,1,0,1,0,1,1,1,1,4.267822370959261
PCNA,1,0,0,1,-1,1,-1,-1,-0.8265991058433075
SMAD4,1,0,1,0,1,1,1,1,4.519349452893868
TCF4,1,0,1,0,1,1,1,1,5.22653915652816
THBS1,2,0,1,0,1,1,1,1,1.8528892236533885
WNT5A,0,0,0,1,-1,0,-1,-1,NA
