Nodes,NodeType,ZeroAct,UpAct,DownAct,AvgAct,measured,Activity,sign_activity,mofa_weights
CHUK,5,0,0,1,-1,1,-1,-1,-0.832199153175229
CREBBP,5,0,0,1,-1,0,-1,-1,0.9016556009043312
IKBKB,5,0.8,0,0.2,-0.2,0,-0.2,-1,0.555545810719868
MYC,4,0,0,1,-1,1,-1,-1,-5.155864131816764
NFKB1,4,0,1,0,1,1,1,1,6.341658130739368
NOTCH1,3,0,0,1,-1,1,-1,-1,-0.705752569760374
PAX8,4,0,0,1,-1,1,-1,-1,-1.9983068419761552
PPM1G,5,0,0,1,-1,0,-1,-1,NA
RELB,4,0,1,0,1,1,1,1,6.200429531628194
YBX1,2,0,0,1,-1,1,-1,-1,-1.020054552648916
ZMIZ1,5,0,0,1,-1,1,-1,-1,-0.7405016533460359
