Nodes,NodeType,ZeroAct,UpAct,DownAct,AvgAct,measured,Activity,sign_activity,mofa_weights
ETS2,4,0,1,0,1,1,1,1,2.714000193029335
KDM6A,5,0,0,1,-1,1,-1,-1,-1.4940382230208886
