Nodes,NodeType,ZeroAct,UpAct,DownAct,AvgAct,measured,Activity,sign_activity,mofa_weights
IRF3,4,0,0,1,-1,1,-1,-1,-2.188369488610287
WEE1,5,0.8,0,0.2,-0.2,0,-0.2,-1,NA
