model,view,factor,r2_percent
current_scale_views_false,RNA,Factor1,24.020168210530468
current_scale_views_false,RNA,Factor2,4.484996522946494
current_scale_views_false,RNA,Factor3,0.27772664567725647
current_scale_views_false,RNA,Factor4,7.368334151844314
current_scale_views_false,RNA,Factor5,13.233035921479196
current_scale_views_false,RNA,Factor6,2.310255543599238
current_scale_views_false,RNA,Factor7,4.5839551002688435
current_scale_views_false,RNA,Factor8,2.817165017310652
current_scale_views_false,RNA,Factor9,1.946985851676597
current_scale_views_false,metab,Factor1,0.00297922401691908
current_scale_views_false,metab,Factor2,14.09373707159708
current_scale_views_false,metab,Factor3,2.1939236049957067
current_scale_views_false,metab,Factor4,2.4616829186703715
current_scale_views_false,metab,Factor5,0.008854677706282565
current_scale_views_false,metab,Factor6,0.001537887083125078
current_scale_views_false,metab,Factor7,0.00779511988502346
current_scale_views_false,metab,Factor8,0.2778184501867953
current_scale_views_false,metab,Factor9,0.004198608475081134
current_scale_views_false,proteo,Factor1,0.21474182593160807
current_scale_views_false,proteo,Factor2,2.236180823038969
current_scale_views_false,proteo,Factor3,12.875906514554236
current_scale_views_false,proteo,Factor4,4.7525072504298045
current_scale_views_false,proteo,Factor5,0.004884149435369078
current_scale_views_false,proteo,Factor6,2.692284961742275
current_scale_views_false,proteo,Factor7,0.3900456796500529
current_scale_views_false,proteo,Factor8,0.21041870434197474
current_scale_views_false,proteo,Factor9,0.00399261734348455
scale_views_true,RNA,Factor1,24.031899430345383
scale_views_true,RNA,Factor2,4.485155571234234
scale_views_true,RNA,Factor3,0.2781468097470152
scale_views_true,RNA,Factor4,7.355399677912544
scale_views_true,RNA,Factor5,13.230514642849634
scale_views_true,RNA,Factor6,2.3110840230905705
scale_views_true,RNA,Factor7,4.592530962175134
scale_views_true,RNA,Factor8,2.8135173490246412
scale_views_true,RNA,Factor9,1.9485350985426697
scale_views_true,metab,Factor1,0.0035397063008257845
scale_views_true,metab,Factor2,14.087860292759323
scale_views_true,metab,Factor3,2.201233473172781
scale_views_true,metab,Factor4,2.464057048323287
scale_views_true,metab,Factor5,0.009253483165783116
scale_views_true,metab,Factor6,0.0030442377200623483
scale_views_true,metab,Factor7,0.010378392726462238
scale_views_true,metab,Factor8,0.24245417983531636
scale_views_true,metab,Factor9,0.005080183074224198
scale_views_true,proteo,Factor1,0.217257996082576
scale_views_true,proteo,Factor2,2.236417135723867
scale_views_true,proteo,Factor3,12.875750483396542
scale_views_true,proteo,Factor4,4.754738289438121
scale_views_true,proteo,Factor5,0.0036334480987276763
scale_views_true,proteo,Factor6,2.6922128830293213
scale_views_true,proteo,Factor7,0.38565204060450053
scale_views_true,proteo,Factor8,0.20554578598483975
scale_views_true,proteo,Factor9,0.004080583858534492
